start,end,seconds,bytes,bits_per_second,omitted,sender,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,1.039721,1.0397210121154785,17379520,133724487.99232087,False,False,0,tcp1d,,,133.72448799232086,TCP,downlink,133.72448799232086,0.0,60361,jan,west2
1.039721,2.012925,0.9732040166854858,39053280,321028514.72402835,False,False,1,tcp1d,,,321.02851472402835,TCP,downlink,227.3765013581746,0.9732040000000001,60361,jan,west2
2.012925,3.032054,1.0191290378570557,35777376,280846681.20323485,False,False,2,tcp1d,,,280.8466812032348,TCP,downlink,245.19989463986136,1.9923330000000001,60361,jan,west2
3.032054,4.000537,0.9684829711914062,32243712,266344069.7183101,False,False,3,tcp1d,,,266.3440697183101,TCP,downlink,289.40642188185774,2.9608160000000003,60361,jan,west2
4.000537,5.004278,1.0037410259246826,35917632,286270112.0892125,False,False,4,tcp1d,,,286.2701120892125,TCP,downlink,277.8202876702524,3.964557,60361,jan,west2
5.004278,6.001007,0.9967290163040161,32409920,260130241.77969372,False,False,5,tcp1d,,,260.13024177969373,TCP,downlink,270.91480786240544,4.961286,60361,jan,west2
6.001007,7.022787,1.021780014038086,35612544,278827485.4526374,False,False,6,tcp1d,,,278.82748545263735,TCP,downlink,275.07594644051454,5.983066,60361,jan,west2
7.022787,8.000255,0.9774680137634277,38665696,316455949.0893629,False,False,7,tcp1d,,,316.45594908936295,TCP,downlink,285.1378921072314,6.960534,60361,jan,west2
8.000255,9.001291,1.0010360479354858,38669920,309039180.59496033,False,False,8,tcp1d,,,309.0391805949603,TCP,downlink,301.4408717123202,7.961570000000001,60361,jan,west2
9.001291,10.0087,1.0074089765548706,36922720,293209378.58837056,False,False,9,tcp1d,,,293.20937858837056,TCP,downlink,306.23483609089794,8.968979000000001,60361,jan,west2
10.0087,11.032747,1.0240470170974731,33328736,260368795.13181672,False,False,10,tcp1d,,,260.36879513181674,TCP,downlink,287.5391181050492,9.993026,60361,jan,west2
11.032747,12.001562,0.96881502866745,32243712,266252781.35372773,False,False,11,tcp1d,,,266.25278135372776,TCP,downlink,273.27698502463835,10.961841000000002,60361,jan,west2
12.001562,13.037885,1.0363229513168335,35651584,275216014.1175937,False,False,12,tcp1d,,,275.2160141175937,TCP,downlink,267.2791968677127,11.998164000000001,60361,jan,west2
13.037885,14.000546,0.9626610279083252,32368064,268988257.0219301,False,False,13,tcp1d,,,268.9882570219301,TCP,downlink,270.1523508310838,12.960825000000002,60361,jan,west2
14.000546,15.01216,1.0116139650344849,24779840,195962814.7217622,False,False,14,tcp1d,,,195.96281472176221,TCP,downlink,246.72236195376198,13.972439000000001,60361,jan,west2
15.01216,16.001548,0.9893879890441895,33194240,268402207.16297725,False,False,15,tcp1d,,,268.4022071629773,TCP,downlink,244.45109296888987,14.961827000000001,60361,jan,west2
16.001548,17.025572,1.0240240097045898,35618048,278259475.6564357,False,False,16,tcp1d,,,278.2594756564357,TCP,downlink,247.54149918039175,15.985851,60361,jan,west2
17.025572,18.001803,0.9762309789657593,33150368,271660037.13686883,False,False,17,tcp1d,,,271.6600371368688,TCP,downlink,272.77390665209396,16.962082000000002,60361,jan,west2
18.001803,19.04051,1.0387070178985596,32909920,253468355.81475964,False,False,18,tcp1d,,,253.46835581475963,TCP,downlink,267.7959562026881,18.000789,60361,jan,west2
19.04051,20.00039,0.959879994392395,33198880,276691921.43974143,False,False,19,tcp1d,,,276.6919214397414,TCP,downlink,267.27343813045667,18.960669000000003,60361,jan,west2
20.00039,21.009179,1.0087889432907104,35613920,282429106.59846014,False,False,20,tcp1d,,,282.4291065984601,TCP,downlink,270.8631279509871,19.969458,60361,jan,west2
21.009179,22.001198,0.99201899766922,34362976,277115467.1895349,False,False,21,tcp1d,,,277.1154671895349,TCP,downlink,278.74549840924556,20.961477000000002,60361,jan,west2
22.001198,23.000381,0.9991829991340637,44411296,355580877.88514256,False,False,22,tcp1d,,,355.58087788514257,TCP,downlink,305.04181722437926,21.96066,60361,jan,west2
23.000381,24.000298,0.9999169707298279,43254240,346062653.3295398,False,False,23,tcp1d,,,346.0626533295398,TCP,downlink,326.2529994680726,22.960577,60361,jan,west2
24.000298,25.000965,1.0006669759750366,35387264,282909418.21493906,False,False,24,tcp1d,,,282.9094182149391,TCP,downlink,328.1843164765406,23.961244,60361,jan,west2
25.000965,26.000687,0.9997220039367676,34120032,273036158.9773158,False,False,25,tcp1d,,,273.0361589773158,TCP,downlink,300.6694101739317,24.960966000000003,60361,jan,west2
26.000687,27.040893,1.040205955505371,35611968,273883977.0068293,False,False,26,tcp1d,,,273.8839770068293,TCP,downlink,276.60985139969483,26.001172,60361,jan,west2
27.040893,28.001808,0.9609150290489197,33161216,276080319.2583787,False,False,27,tcp1d,,,276.08031925837867,TCP,downlink,274.3334850808414,26.962087,60361,jan,west2
28.001808,29.022492,1.020684003829956,35651584,279432881.21473867,False,False,28,tcp1d,,,279.43288121473864,TCP,downlink,276.465725826649,27.982771000000003,60361,jan,west2
29.022492,30.001355,0.978863000869751,33153120,270952073.7471323,False,False,29,tcp1d,,,270.9520737471323,TCP,downlink,275.4884247400833,28.961634,60361,jan,west2
