start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.500243,0.500243,9115520,145777417.668637,0,False,0,tcp1d,36.45,1.023744,145.777417668637,TCP,downlink,145.777417668637,0.0,64332,dec,central
0.500243,1.000108,0.499865,20840448,333537345.380958,0,False,1,tcp1d,35.667,1.860352,333.537345380958,TCP,downlink,239.65738152479753,0.499865,64332,dec,central
1.000108,1.500096,0.499988,28573696,457190036.259882,0,False,2,tcp1d,34.846,2.926752,457.190036259882,TCP,downlink,312.16826643649233,0.9998530000000001,64332,dec,central
1.500096,2.00007,0.499974,39190528,627081040.694013,0,False,3,tcp1d,36.093,2.926752,627.081040694013,TCP,downlink,472.60280744495094,1.499827,64332,dec,central
2.00007,2.500107,0.500037,34996224,559898202.058529,0,False,4,tcp1d,65.3,2.926752,559.898202058529,TCP,downlink,548.0564263374746,1.999864,64332,dec,central
2.500107,3.000105,0.499998,38666240,618662200.009003,0,False,5,tcp1d,34.898,2.926752,618.6622000090031,TCP,downlink,601.8804809205151,2.4998620000000003,64332,dec,central
3.000105,3.500149,0.500044,37617664,601829820.632864,0,False,6,tcp1d,40.829,2.926752,601.829820632864,TCP,downlink,593.4634075667987,2.999906,64332,dec,central
3.500149,4.00007,0.499921,39583744,633439881.779803,0,False,7,tcp1d,38.609,2.926752,633.439881779803,TCP,downlink,617.9773008072234,3.4998270000000002,64332,dec,central
4.00007,4.500104,0.500034,30277632,484409081.252291,0,False,8,tcp1d,43.499,2.926752,484.409081252291,TCP,downlink,573.2262612216526,3.999861,64332,dec,central
4.500104,5.000089,0.499985,40632320,650136650.586713,0,False,9,tcp1d,35.624,2.926752,650.1366505867129,TCP,downlink,589.3285378729356,4.499846000000001,64332,dec,central
5.000089,5.500096,0.500007,35127296,562028964.107472,0,False,10,tcp1d,43.409,2.926752,562.0289641074719,TCP,downlink,565.5248986488252,4.999853,64332,dec,central
5.500096,6.000113,0.500017,39714816,635415543.728307,0,False,11,tcp1d,35.313,2.926752,635.4155437283071,TCP,downlink,615.8603861408307,5.4998700000000005,64332,dec,central
6.000113,6.500118,0.500005,38535168,616556514.061823,0,False,12,tcp1d,40.329,2.926752,616.556514061823,TCP,downlink,604.6670072992007,5.999875,64332,dec,central
6.500118,7.000105,0.499987,39976960,639647830.4241,0,False,13,tcp1d,35.073,2.926752,639.6478304241,TCP,downlink,630.5399627380767,6.499862,64332,dec,central
7.000105,7.500139,0.500034,34996224,559901672.567016,0,False,14,tcp1d,42.745,2.926752,559.901672567016,TCP,downlink,605.3686723509796,6.999896000000001,64332,dec,central
7.500139,8.000117,0.499978,39190528,627075957.206802,0,False,15,tcp1d,35.015,2.926752,627.0759572068021,TCP,downlink,608.875153399306,7.499874,64332,dec,central
8.000117,8.500073,0.499956,39190528,627103468.827419,0,False,16,tcp1d,39.251,2.926752,627.1034688274191,TCP,downlink,604.6936995337456,7.99983,64332,dec,central
