start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,1.000018,1.0000180006027222,221917152,1775305259.4353144,0.004534931316168251,26471,187748,14.099218100858598,False,False,0,udp,,,1775.3052594353144,UDP,downlink,1775.3052594353144,0.0,64608,dec,central
1.000018,2.000018,1.0,235245088,1881960704.0,0.0019372220627060326,11629,182592,6.368844199088678,False,False,1,udp,,,1881.960704,UDP,downlink,1828.6329817176572,1.0,64608,dec,central
2.000018,3.000017,0.9999989867210388,241690272,1933524135.1993272,0.007890728149580724,9964,185611,5.368216323386006,False,False,2,udp,,,1933.5241351993272,UDP,downlink,1863.5966995448805,1.999999,64608,dec,central
3.000017,4.000017,1.0,229964000,1839712000.0,0.0018143231773445178,11920,179045,6.657544192800692,False,False,3,udp,,,1839.712,UDP,downlink,1885.0656130664422,2.9999990000000003,64608,dec,central
4.000017,5.000019,1.0000020265579224,225029664,1800233663.7222066,0.0018425626331117775,10282,173821,5.915280662290518,False,False,4,udp,,,1800.2336637222065,UDP,downlink,1857.8232663071778,4.000001,64608,dec,central
5.000019,6.000017,0.9999979734420776,217889600,1743120332.5343196,0.001337205830802475,11704,170054,6.8825196702224,False,False,5,udp,,,1743.1203325343197,UDP,downlink,1794.3553320855087,4.999999000000001,64608,dec,central
6.000017,7.000017,1.0,235858784,1886870272.0,0.0043076198568396925,20924,192333,10.879048317241452,False,False,6,udp,,,1886.870272,UDP,downlink,1810.0747560855089,5.999999000000001,64608,dec,central
7.000017,8.000017,1.0,244001952,1952015616.0,0.0019702530220059486,7937,185264,4.28415666292426,False,False,7,udp,,,1952.015616,UDP,downlink,1860.6687401781066,6.999999000000001,64608,dec,central
8.000017,9.000081,1.0000640153884888,222050624,1776291282.0235121,0.02991868122773598,22635,184009,12.301028754028335,False,False,8,udp,,,1776.2912820235122,UDP,downlink,1871.725723341171,8.000063,64608,dec,central
9.000081,10.00002,0.9999390244483948,236914176,1895428982.8277564,0.0015810739543380848,15773,187949,8.392170216388488,False,False,9,udp,,,1895.4289828277565,UDP,downlink,1874.578626950423,9.000002,64608,dec,central
10.00002,11.00008,1.000059962272644,239681312,1917335528.2043078,0.002642418416797897,13362,187549,7.124538120704456,False,False,10,udp,,,1917.3355282043078,UDP,downlink,1863.0185976851924,10.000062,64608,dec,central
11.00008,12.000093,1.000012993812561,235718432,1885722953.2694032,0.002141447442301499,13744,185051,7.427141706880806,False,False,11,udp,,,1885.7229532694032,UDP,downlink,1899.4958214338228,11.000075,64608,dec,central
12.000093,13.000017,0.9999240040779114,231308352,1850607454.619938,0.0025875226534005334,23351,191453,12.196727134074681,False,False,12,udp,,,1850.607454619938,UDP,downlink,1884.5553120312168,11.999999,64608,dec,central
13.000017,14.00008,1.0000629425048828,235326272,1882491687.257783,0.001956016859314047,15516,186538,8.317876250415464,False,False,13,udp,,,1882.491687257783,UDP,downlink,1872.9406983823753,13.000062000000002,64608,dec,central
14.00008,15.000018,0.9999380111694336,237384768,1899195872.9311795,0.0035541421905531654,14242,186760,7.625829942171771,False,False,14,udp,,,1899.1958729311796,UDP,downlink,1877.4316716029673,14.0,64608,dec,central
15.000018,16.000016,0.9999979734420776,232915520,1863327936.141991,0.003678671182437634,16578,185848,8.920192845766433,False,False,15,udp,,,1863.327936141991,UDP,downlink,1881.6718321103183,14.999998000000001,64608,dec,central
16.000016,17.000099,1.0000829696655273,217189216,1737369579.0271308,0.0018535360495082467,22591,180432,12.520506340338743,False,False,16,udp,,,1737.3695790271308,UDP,downlink,1833.2977960334345,16.000081,64608,dec,central
17.000099,18.000037,0.9999380111694336,211594400,1692860138.420293,0.014136106777945986,27994,181769,15.400865934235211,False,False,17,udp,,,1692.8601384202932,UDP,downlink,1764.5192178631387,17.000019,64608,dec,central
18.000037,19.000017,0.9999799728393555,213281376,1706285180.0474062,0.0032188498776040773,39861,194862,20.456015026018413,False,False,18,udp,,,1706.2851800474061,UDP,downlink,1712.1716324982772,17.999999000000003,64608,dec,central
