start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.500101,0.500101,11534336,184512071.542176,0,False,0,tcp1c,78.07,0.265568,184.51207154217602,TCP,downlink,184.51207154217602,0.0,64521,dec,west2
0.500101,1.000114,0.500013,1835008,29359372.019466,0,False,1,tcp1c,79.435,0.356384,29.359372019466,TCP,downlink,106.93572178082101,0.500013,64521,dec,west2
1.000114,1.500126,0.500012,2359296,37747818.022324,0,False,2,tcp1c,83.461,0.477472,37.747818022324005,TCP,downlink,83.87308719465534,1.0000250000000002,64521,dec,west2
1.500126,2.000106,0.49998,4063232,65014316.104306,0,False,3,tcp1c,85.847,0.670112,65.01431610430599,TCP,downlink,44.04050204869866,1.500005,64521,dec,west2
2.000106,2.500106,0.5,4456448,71303168.0,0,False,4,tcp1c,85.546,0.898528,71.303168,TCP,downlink,58.02176737554333,2.0000050000000003,64521,dec,west2
2.500106,3.000113,0.500007,6160384,98564781.018848,0,False,5,tcp1c,80.379,1.202624,98.564781018848,TCP,downlink,78.29408837438466,2.5000120000000003,64521,dec,west2
3.000113,3.500114,0.500001,8126464,130023176.000473,0,False,6,tcp1c,80.06,1.611296,130.023176000473,TCP,downlink,99.96370833977365,3.000013,64521,dec,west2
3.500114,4.000127,0.500013,10878976,174059051.119719,0,False,7,tcp1c,84.481,2.157568,174.059051119719,TCP,downlink,134.21566937967998,3.500026,64521,dec,west2
4.000127,4.500109,0.499982,17563648,281028552.369078,0,False,8,tcp1c,79.668,3.032704,281.028552369078,TCP,downlink,195.03692649642335,4.000008,64521,dec,west2
4.500109,5.000099,0.49999,20578304,329259458.132062,0,False,9,tcp1c,81.271,4.063328,329.25945813206204,TCP,downlink,261.44902054028637,4.499998000000001,64521,dec,west2
5.000099,5.500114,0.500015,28573696,457165402.412567,0,False,10,tcp1c,81.573,5.44208,457.165402412567,TCP,downlink,355.81780430456905,5.000013,64521,dec,west2
5.500114,6.000099,0.499985,49152000,786455625.709734,0,False,11,tcp1c,65.707,7.656064,786.4556257097339,TCP,downlink,524.2934954181211,5.499998000000001,64521,dec,west2
6.000099,6.500077,0.499978,54001664,864064529.662884,0,False,12,tcp1c,65.037,8.404608,864.064529662884,TCP,downlink,702.5618525950616,5.999976,64521,dec,west2
6.500077,7.000148,0.500071,48758784,780029703.750119,0,False,13,tcp1c,65.006,8.404608,780.029703750119,TCP,downlink,810.1832863742457,6.500047,64521,dec,west2
7.000148,7.500069,0.499921,58195968,931282475.199445,0,False,14,tcp1c,65.515,8.404608,931.282475199445,TCP,downlink,858.458902870816,6.999968000000001,64521,dec,west2
7.500069,8.000096,0.500027,63569920,1017064000.0,0,False,15,tcp1c,64.433,8.404608,1017.064,TCP,downlink,909.4587263165213,7.499995,64521,dec,west2
8.000096,8.500157,0.500061,60948480,975056654.529476,0,False,16,tcp1c,63.527,8.404608,975.0566545294761,TCP,downlink,974.4677099096402,8.000056,64521,dec,west2
8.500157,9.000104,0.499947,63700992,1019324000.0,0,False,17,tcp1c,64.372,8.404608,1019.324,TCP,downlink,1003.8148848431587,8.500003000000001,64521,dec,west2
9.000104,9.500475,0.500371,52428800,838238861.452665,0,False,18,tcp1c,66.128,8.404608,838.238861452665,TCP,downlink,944.2065053273803,9.000374,64521,dec,west2
9.500475,10.000079,0.499604,63176704,1011629000.0,0,False,19,tcp1c,64.428,8.404608,1011.629,TCP,downlink,956.3972871508882,9.499978,64521,dec,west2
10.000079,10.500069,0.49999,61210624,979389131.374337,0,False,20,tcp1c,63.966,8.404608,979.389131374337,TCP,downlink,943.0856642756672,9.999968,64521,dec,west2
10.500069,11.000109,0.50004,62128128,993970896.302993,0,False,21,tcp1c,66.293,8.404608,993.9708963029931,TCP,downlink,994.99634255911,10.500008000000001,64521,dec,west2
11.000109,11.500085,0.499976,53739520,859873321.955126,0,False,22,tcp1c,64.508,8.404608,859.873321955126,TCP,downlink,944.4111165441519,10.999984000000001,64521,dec,west2
11.500085,12.000098,0.500013,41549824,664780066.440764,0,False,23,tcp1c,76.137,8.404608,664.7800664407639,TCP,downlink,839.5414282329608,11.499997,64521,dec,west2
12.000098,12.500107,0.500009,61734912,987740694.324303,0,False,24,tcp1c,64.58,8.404608,987.740694324303,TCP,downlink,837.4646942400642,12.000006,64521,dec,west2
12.500107,13.000102,0.499995,65011712,1040198000.0,0,False,25,tcp1c,64.252,8.404608,1040.198,TCP,downlink,897.5729202550223,12.500001000000001,64521,dec,west2
13.000102,13.500102,0.5,61210624,979369984.0,0,False,26,tcp1c,69.914,8.404608,979.369984,TCP,downlink,1002.4362261081009,13.000001000000001,64521,dec,west2
13.500102,14.000103,0.500001,63963136,1023408000.0,0,False,27,tcp1c,64.635,8.404608,1023.408,TCP,downlink,1014.3253279999998,13.500002,64521,dec,west2
14.000103,14.500106,0.500003,51642368,826272766.03175,0,False,28,tcp1c,69.88,8.404608,826.2727660317499,TCP,downlink,943.0169166772497,14.000005000000002,64521,dec,west2
14.500106,15.000096,0.49999,63700992,1019236000.0,0,False,29,tcp1c,64.909,8.404608,1019.236,TCP,downlink,956.3055886772496,14.499995,64521,dec,west2
15.000096,15.500225,0.500129,61734912,987503846.716361,0,False,30,tcp1c,66.542,8.404608,987.5038467163611,TCP,downlink,944.3375375827035,15.000124000000001,64521,dec,west2
15.500225,16.00007,0.499845,65011712,1040510000.0,0,False,31,tcp1c,64.641,8.404608,1040.51,TCP,downlink,1015.7499489054534,15.499969,64521,dec,west2
16.00007,16.500171,0.500101,56360960,901593506.6802,0,False,32,tcp1c,67.051,8.404608,901.5935066802,TCP,downlink,976.53578446552,16.00007,64521,dec,west2
16.500171,17.000123,0.499952,63963136,1023508000.0,0,False,33,tcp1c,67.609,8.404608,1023.508,TCP,downlink,988.5371688933996,16.500022,64521,dec,west2
17.000123,17.500109,0.499986,61997056,991980803.785141,0,False,34,tcp1c,64.434,8.404608,991.980803785141,TCP,downlink,972.3607701551131,17.000008,64521,dec,west2
17.500109,18.000098,0.499989,63307776,1012947000.0,0,False,35,tcp1c,65.151,8.404608,1012.947,TCP,downlink,1009.4786012617132,17.499997,64521,dec,west2
