start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.5001,0.5001,94371840,1509647000.0,2,False,0,tcp8,68.63725,0.785696,1509.647,TCP,downlink,1509.647,0.0,64559,dec,west
0.5001,1.000071,0.499971,159685344,2555114000.0,1,False,1,tcp8,125.321375,4.096696,2555.114,TCP,downlink,2032.3805,0.49997100000000005,64559,dec,west
1.000071,1.500136,0.500065,131061824,2096716000.0,2,False,2,tcp8,121.979375,4.078292,2096.716,TCP,downlink,2053.8256666666666,1.0000360000000001,64559,dec,west
1.500136,2.000105,0.499969,121714048,1947545000.0,2,False,3,tcp8,133.7305,3.588608,1947.545,TCP,downlink,2199.7916666666665,1.500005,64559,dec,west
2.000105,2.500087,0.499982,142053824,2272944000.0,2,False,4,tcp8,111.08425,3.95342,2272.944,TCP,downlink,2105.735,1.9999870000000002,64559,dec,west
2.500087,3.0001,0.500013,135200320,2163148000.0,2,False,5,tcp8,121.12775,3.904056,2163.148,TCP,downlink,2127.8789999999995,2.5,64559,dec,west
3.0001,3.500104,0.500004,105966112,1695445000.0,0,False,6,tcp8,165.355875,3.982316,1695.445,TCP,downlink,2043.8456666666661,3.000004,64559,dec,west
3.500104,4.000111,0.500007,122852672,1965615000.0,1,False,7,tcp8,118.875875,3.8012,1965.615,TCP,downlink,1941.4026666666662,3.500011,64559,dec,west
4.000111,4.500071,0.49996,126709248,2027510000.0,2,False,8,tcp8,110.12675,3.74444,2027.51,TCP,downlink,1896.1899999999996,3.9999710000000004,64559,dec,west
4.500071,5.000207,0.500136,130562752,2088436000.0,0,False,9,tcp8,119.533625,3.92418,2088.436,TCP,downlink,2027.187,4.500107,64559,dec,west
5.000207,5.500105,0.499898,128259936,2052577000.0,0,False,10,tcp8,126.6335,4.117852,2052.577,TCP,downlink,2056.1743333333334,5.000005000000001,64559,dec,west
5.500105,6.000131,0.500026,131969280,2111399000.0,0,False,11,tcp8,133.261875,4.3301,2111.399,TCP,downlink,2084.1373333333336,5.500031000000001,64559,dec,west
