start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.500134,0.500134,94371840,1509545000.0,5,False,0,tcp8,89.62875,0.486416,1509.545,TCP,downlink,1509.545,0.0,64565,dec,west2
0.500134,1.000128,0.499994,145240640,2323878000.0,0,False,1,tcp8,102.034375,3.319256,2323.878,TCP,downlink,1916.7115000000001,0.49999400000000005,64565,dec,west2
1.000128,1.500127,0.499999,129061152,2064983000.0,0,False,2,tcp8,104.807,3.326652,2064.983,TCP,downlink,1966.1353333333336,0.999993,64565,dec,west2
1.500127,2.000138,0.500011,130324416,2085144000.0,0,False,3,tcp8,104.65875,3.328716,2085.144,TCP,downlink,2158.001666666667,1.5000040000000001,64565,dec,west2
2.000138,2.500173,0.500035,126847392,2029417000.0,0,False,4,tcp8,105.797625,3.330952,2029.417,TCP,downlink,2059.848,2.000039,64565,dec,west2
2.500173,3.000095,0.499922,124652160,1994746000.0,0,False,5,tcp8,106.230125,3.333016,1994.746,TCP,downlink,2036.4356666666665,2.4999610000000003,64565,dec,west2
3.000095,3.500351,0.500256,118880928,1901121000.0,0,False,6,tcp8,124.155375,3.335252,1901.121,TCP,downlink,1975.0946666666666,3.000217,64565,dec,west2
3.500351,4.000132,0.499781,109696384,1755912000.0,1,False,7,tcp8,96.84425,3.031844,1755.912,TCP,downlink,1883.9263333333336,3.499998,64565,dec,west2
4.000132,4.500119,0.499987,132321568,2117200000.0,1,False,8,tcp8,96.125625,3.050076,2117.2,TCP,downlink,1924.7443333333333,3.999985,64565,dec,west2
4.500119,5.000099,0.49998,127022624,2032443000.0,0,False,9,tcp8,98.37075,3.085164,2032.443,TCP,downlink,1968.5183333333334,4.499965,64565,dec,west2
5.000099,5.500133,0.500034,126136320,2018044000.0,0,False,10,tcp8,98.811125,3.121628,2018.044,TCP,downlink,2055.895666666667,4.999999000000001,64565,dec,west2
5.500133,6.000127,0.499994,126009312,2016174000.0,0,False,11,tcp8,100.0455,3.157576,2016.174,TCP,downlink,2022.2203333333334,5.499993,64565,dec,west2
6.000127,6.500124,0.499997,128791648,2060678000.0,0,False,12,tcp8,99.577625,3.194212,2060.678,TCP,downlink,2031.6319999999998,5.99999,64565,dec,west2
6.500124,7.000098,0.499974,127601600,2041732000.0,0,False,13,tcp8,103.750375,3.231364,2041.732,TCP,downlink,2039.528,6.499964,64565,dec,west2
7.000098,7.500115,0.500017,125832576,2013253000.0,0,False,14,tcp8,101.97925,3.268516,2013.253,TCP,downlink,2038.5543333333333,6.999981,64565,dec,west2
7.500115,8.000336,0.500221,126885216,2029266000.0,0,False,15,tcp8,105.43025,3.30756,2029.266,TCP,downlink,2028.0836666666667,7.500202000000001,64565,dec,west2
