start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.500105,0.500105,2656512,42495255.877181,0,False,0,tcp1d,85.766,0.836608,42.495255877181,TCP,downlink,42.495255877181,0.0,64354,dec,west-central
0.500105,1.000111,0.500006,13107200,209712700.029802,0,False,1,tcp1d,54.233,2.234624,209.712700029802,TCP,downlink,126.1039779534915,0.5000060000000001,64354,dec,west-central
1.000111,1.500068,0.499957,23592960,377519942.812142,0,False,2,tcp1d,51.507,2.88272,377.519942812142,TCP,downlink,209.9092995730417,0.999963,64354,dec,west-central
1.500068,2.000103,0.500035,25296896,404721966.988528,0,False,3,tcp1d,54.297,2.88272,404.72196698852804,TCP,downlink,330.6515366101574,1.4999980000000002,64354,dec,west-central
2.000103,2.50011,0.500007,25296896,404744546.082825,0,False,4,tcp1d,52.217,2.88272,404.744546082825,TCP,downlink,395.6621519611651,2.0000050000000003,64354,dec,west-central
2.50011,3.000104,0.499994,26345472,421532778.064792,0,False,5,tcp1d,53.229,2.88272,421.53277806479196,TCP,downlink,410.3330970453817,2.4999990000000003,64354,dec,west-central
3.000104,3.500107,0.500003,25559040,408942105.015714,0,False,6,tcp1d,52.577,2.88272,408.942105015714,TCP,downlink,411.7398097211103,3.0000020000000003,64354,dec,west-central
3.500107,4.000104,0.499997,23986176,383781195.014747,0,False,7,tcp1d,53.675,2.88272,383.781195014747,TCP,downlink,404.752026031751,3.4999990000000003,64354,dec,west-central
4.000104,4.500104,0.5,25034752,400556032.0,0,False,8,tcp1d,53.287,2.88272,400.556032,TCP,downlink,397.759777343487,3.9999990000000003,64354,dec,west-central
4.500104,5.000071,0.499967,26083328,417360711.807215,0,False,9,tcp1d,53.083,2.88272,417.36071180721495,TCP,downlink,400.5659796073207,4.499966000000001,64354,dec,west-central
5.000071,5.500117,0.500046,26214400,419391803.552015,0,False,10,tcp1d,52.212,2.88272,419.391803552015,TCP,downlink,412.4361824530767,5.000012,64354,dec,west-central
5.500117,6.00011,0.499993,24772608,396367209.075794,0,False,11,tcp1d,53.154,2.88272,396.367209075794,TCP,downlink,411.03990814500804,5.500005000000001,64354,dec,west-central
6.00011,6.500098,0.499988,25952256,415246194.245576,0,False,12,tcp1d,53.385,2.88272,415.246194245576,TCP,downlink,410.3350689577951,5.999993000000001,64354,dec,west-central
