start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.500077,0.500077,20840448,333395818.908705,0,False,0,tcp1c,52.989,3.492288,333.395818908705,TCP,downlink,333.395818908705,0.0,64514,dec,east
0.500077,1.000069,0.499992,52428800,838874400.220493,0,False,1,tcp1c,40.324,5.995232,838.8744002204929,TCP,downlink,586.1351095645989,0.49999200000000005,64514,dec,east
1.000069,1.50007,0.500001,93585408,1497364000.0,0,False,2,tcp1c,43.459,8.415616,1497.364,TCP,downlink,889.8780730430659,0.999993,64514,dec,east
1.50007,2.000068,0.499998,98304000,1572870000.0,0,False,3,tcp1c,39.383,8.415616,1572.87,TCP,downlink,1303.036133406831,1.499991,64514,dec,east
2.000068,2.500068,0.5,97386496,1558183936.0,0,False,4,tcp1c,40.511,8.415616,1558.183936,TCP,downlink,1542.8059786666665,1.999991,64514,dec,east
2.500068,3.000068,0.5,102105088,1633681408.0,0,False,5,tcp1c,40.107,8.415616,1633.681408,TCP,downlink,1588.245114666667,2.499991,64514,dec,east
3.000068,3.500073,0.500005,95813632,1533003000.0,0,False,6,tcp1c,40.752,8.415616,1533.003,TCP,downlink,1574.9561146666667,2.9999960000000003,64514,dec,east
3.500073,4.000078,0.500005,102498304,1639956000.0,0,False,7,tcp1c,40.263,8.415616,1639.956,TCP,downlink,1602.2134693333337,3.500001,64514,dec,east
4.000078,4.50007,0.499992,95551488,1528849000.0,0,False,8,tcp1c,57.616,8.415616,1528.849,TCP,downlink,1567.2693333333336,3.9999930000000004,64514,dec,east
4.50007,5.000075,0.500005,100663296,1610597000.0,0,False,9,tcp1c,42.968,8.415616,1610.597,TCP,downlink,1593.1340000000002,4.499998000000001,64514,dec,east
5.000075,5.500069,0.499994,97517568,1560300000.0,0,False,10,tcp1c,55.965,8.415616,1560.3,TCP,downlink,1566.5820000000003,4.999992000000001,64514,dec,east
5.500069,6.000075,0.500006,101580800,1625273000.0,0,False,11,tcp1c,41.414,8.415616,1625.273,TCP,downlink,1598.7233333333336,5.499998000000001,64514,dec,east
6.000075,6.500075,0.5,93454336,1495269376.0,0,False,12,tcp1c,54.775,8.415616,1495.269376,TCP,downlink,1560.2807920000005,5.999998000000001,64514,dec,east
6.500075,7.000065,0.49999,100925440,1614839000.0,0,False,13,tcp1c,41.436,8.415616,1614.839,TCP,downlink,1578.4604586666671,6.499988,64514,dec,east
7.000065,7.50008,0.500015,97517568,1560234000.0,0,False,14,tcp1c,57.702,8.415616,1560.234,TCP,downlink,1556.7807920000005,7.000003,64514,dec,east
7.50008,8.000068,0.499988,100270080,1604360000.0,0,False,15,tcp1c,42.947,8.415616,1604.36,TCP,downlink,1593.1443333333336,7.4999910000000005,64514,dec,east
8.000068,8.500069,0.500001,95551488,1528821000.0,0,False,16,tcp1c,50.893,8.415616,1528.821,TCP,downlink,1564.471666666667,7.999992000000001,64514,dec,east
