start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,1.000018,1.0000180006027222,221917152,1775305259.4353144,0.004534931316168251,26471,187748,14.099218100858598,False,False,0,summary,,,2021-05-18 21:33:18.000018,1775.3052594353144,UDP,downlink,1775.3052594353144
1.000018,2.000018,1.0,235245088,1881960704.0,0.0019372220627060326,11629,182592,6.368844199088678,False,False,1,summary,,,2021-05-18 21:33:19.000018,1881.960704,UDP,downlink,1828.6329817176572
2.000018,3.000017,0.9999989867210388,241690272,1933524135.1993272,0.007890728149580724,9964,185611,5.368216323386006,False,False,2,summary,,,2021-05-18 21:33:20.000017,1933.5241351993272,UDP,downlink,1863.5966995448805
3.000017,4.000017,1.0,229964000,1839712000.0,0.0018143231773445178,11920,179045,6.657544192800692,False,False,3,summary,,,2021-05-18 21:33:21.000017,1839.712,UDP,downlink,1885.0656130664422
4.000017,5.000019,1.0000020265579224,225029664,1800233663.7222066,0.0018425626331117775,10282,173821,5.915280662290518,False,False,4,summary,,,2021-05-18 21:33:22.000019,1800.2336637222065,UDP,downlink,1857.8232663071778
5.000019,6.000017,0.9999979734420776,217889600,1743120332.5343196,0.001337205830802475,11704,170054,6.8825196702224,False,False,5,summary,,,2021-05-18 21:33:23.000017,1743.1203325343197,UDP,downlink,1794.3553320855087
6.000017,7.000017,1.0,235858784,1886870272.0,0.0043076198568396925,20924,192333,10.879048317241452,False,False,6,summary,,,2021-05-18 21:33:24.000017,1886.870272,UDP,downlink,1810.0747560855089
7.000017,8.000017,1.0,244001952,1952015616.0,0.0019702530220059486,7937,185264,4.28415666292426,False,False,7,summary,,,2021-05-18 21:33:25.000017,1952.015616,UDP,downlink,1860.6687401781066
8.000017,9.000081,1.0000640153884888,222050624,1776291282.0235121,0.02991868122773598,22635,184009,12.301028754028335,False,False,8,summary,,,2021-05-18 21:33:26.000081,1776.2912820235122,UDP,downlink,1871.725723341171
9.000081,10.00002,0.9999390244483948,236914176,1895428982.8277564,0.0015810739543380848,15773,187949,8.392170216388488,False,False,9,summary,,,2021-05-18 21:33:27.000020,1895.4289828277565,UDP,downlink,1874.578626950423
10.00002,11.00008,1.000059962272644,239681312,1917335528.2043078,0.002642418416797897,13362,187549,7.124538120704456,False,False,10,summary,,,2021-05-18 21:33:28.000080,1917.3355282043078,UDP,downlink,1863.0185976851924
11.00008,12.000093,1.000012993812561,235718432,1885722953.2694032,0.002141447442301499,13744,185051,7.427141706880806,False,False,11,summary,,,2021-05-18 21:33:29.000093,1885.7229532694032,UDP,downlink,1899.4958214338228
12.000093,13.000017,0.9999240040779114,231308352,1850607454.619938,0.0025875226534005334,23351,191453,12.196727134074681,False,False,12,summary,,,2021-05-18 21:33:30.000017,1850.607454619938,UDP,downlink,1884.5553120312168
13.000017,14.00008,1.0000629425048828,235326272,1882491687.257783,0.001956016859314047,15516,186538,8.317876250415464,False,False,13,summary,,,2021-05-18 21:33:31.000080,1882.491687257783,UDP,downlink,1872.9406983823753
14.00008,15.000018,0.9999380111694336,237384768,1899195872.9311795,0.0035541421905531654,14242,186760,7.625829942171771,False,False,14,summary,,,2021-05-18 21:33:32.000018,1899.1958729311796,UDP,downlink,1877.4316716029673
15.000018,16.000016,0.9999979734420776,232915520,1863327936.141991,0.003678671182437634,16578,185848,8.920192845766433,False,False,15,summary,,,2021-05-18 21:33:33.000016,1863.327936141991,UDP,downlink,1881.6718321103183
16.000016,17.000099,1.0000829696655273,217189216,1737369579.0271308,0.0018535360495082467,22591,180432,12.520506340338743,False,False,16,summary,,,2021-05-18 21:33:34.000099,1737.3695790271308,UDP,downlink,1833.2977960334345
17.000099,18.000037,0.9999380111694336,211594400,1692860138.420293,0.014136106777945986,27994,181769,15.400865934235211,False,False,17,summary,,,2021-05-18 21:33:35.000037,1692.8601384202932,UDP,downlink,1764.5192178631387
18.000037,19.000017,0.9999799728393555,213281376,1706285180.0474062,0.0032188498776040773,39861,194862,20.456015026018413,False,False,18,summary,,,2021-05-18 21:33:36.000017,1706.2851800474061,UDP,downlink,1712.1716324982772
19.000017,20.000085,1.000067949295044,209941824,1679420476.5625353,0.001970806478531143,17966,170540,10.534771901020289,False,False,19,summary,,,2021-05-18 21:33:37.000085,1679.4204765625352,UDP,downlink,1692.8552650100785
20.000085,21.000017,0.9999319911003113,213691424,1709647663.2564335,0.0020471912507613156,28636,183935,15.568543235382064,False,False,20,summary,,,2021-05-18 21:33:38.000017,1709.6476632564336,UDP,downlink,1698.4511066221255
21.000017,22.000017,1.0,215752672,1726021376.0,0.0016927875209059402,25462,182259,13.970229179354655,False,False,21,summary,,,2021-05-18 21:33:39.000017,1726.021376,UDP,downlink,1705.0298386063232
22.000017,23.00006,1.0000430345535278,223785760,1790209039.1532786,0.025807681040142978,22506,185141,12.15614045511259,False,False,22,summary,,,2021-05-18 21:33:40.000060,1790.2090391532786,UDP,downlink,1741.9593594699043
23.00006,24.000062,1.0000020265579224,210781184,1686246054.7246988,0.030252432552501356,23848,177032,13.47101089068643,False,False,23,summary,,,2021-05-18 21:33:41.000062,1686.2460547246988,UDP,downlink,1734.1588232926595
24.000062,25.000017,0.9999549984931946,214870656,1719042607.5076005,0.003474192821783429,23701,179857,13.177691165759464,False,False,24,summary,,,2021-05-18 21:33:42.000017,1719.0426075076005,UDP,downlink,1731.8325671285263
