start,end,seconds,bytes,bits_per_second,omitted,sender,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,1.006338,1.0063380002975464,158645984,1261174547.3436778,False,False,0,summary,,,2021-01-23 17:54:05.006338,1261.1745473436777,TCP,downlink,1261.1745473436777
1.006338,2.000121,0.9937829971313477,231635168,1864674027.7798085,False,False,1,summary,,,2021-01-23 17:54:06.000121,1864.6740277798085,TCP,downlink,1562.924287561743
2.000121,3.001713,1.0015920400619507,225401248,1800343764.6014714,False,False,2,summary,,,2021-01-23 17:54:07.001713,1800.3437646014713,TCP,downlink,1642.0641132416524
3.001713,4.000297,0.998583972454071,224641920,1799683761.7806425,False,False,3,summary,,,2021-01-23 17:54:08.000297,1799.6837617806425,TCP,downlink,1821.5671847206406
4.000297,5.002934,1.0026370286941528,238315968,1901513398.605561,False,False,4,summary,,,2021-01-23 17:54:09.002934,1901.513398605561,TCP,downlink,1833.8469749958913
5.002934,6.001998,0.999064028263092,237603136,1902605873.3239062,False,False,5,summary,,,2021-01-23 17:54:10.001998,1902.6058733239063,TCP,downlink,1867.934344570036
6.001998,7.004606,1.0026079416275024,227891328,1818388373.2663922,False,False,6,summary,,,2021-01-23 17:54:11.004606,1818.3883732663921,TCP,downlink,1874.1692150652862
7.004606,8.001286,0.9966800212860107,225977376,1813840921.2491097,False,False,7,summary,,,2021-01-23 17:54:12.001286,1813.8409212491097,TCP,downlink,1844.9450559464692
8.001286,9.000223,0.9989370107650757,199029216,1593928056.36516,False,False,8,summary,,,2021-01-23 17:54:13.000223,1593.92805636516,TCP,downlink,1742.0524502935539
9.000223,10.000746,1.0005229711532593,230673088,1844420125.4798832,False,False,9,summary,,,2021-01-23 17:54:14.000746,1844.4201254798832,TCP,downlink,1750.729701031384
10.000746,11.000133,0.9993870258331299,221578496,1773715209.6028712,False,False,10,summary,,,2021-01-23 17:54:15.000133,1773.7152096028713,TCP,downlink,1737.354463815971
11.000133,12.00195,1.001816987991333,223983200,1788615706.7397442,False,False,11,summary,,,2021-01-23 17:54:16.001950,1788.6157067397442,TCP,downlink,1802.2503472741657
12.00195,13.002837,1.0008870363235474,220433920,1761908483.176656,False,False,12,summary,,,2021-01-23 17:54:17.002837,1761.908483176656,TCP,downlink,1774.7464665064235
13.002837,14.002413,0.9995759725570679,221189024,1770262832.02198,False,False,13,summary,,,2021-01-23 17:54:18.002413,1770.26283202198,TCP,downlink,1773.59567397946
14.002413,15.002125,0.9997119903564453,237830176,1903189544.9424558,False,False,14,summary,,,2021-01-23 17:54:19.002125,1903.1895449424558,TCP,downlink,1811.7869533803635
15.002125,16.001322,0.9991970062255859,236545472,1893884553.5059242,False,False,15,summary,,,2021-01-23 17:54:20.001322,1893.8845535059243,TCP,downlink,1855.7789768234531
16.001322,17.001519,1.0001970529556274,239922496,1919001823.0189197,False,False,16,summary,,,2021-01-23 17:54:21.001519,1919.0018230189196,TCP,downlink,1905.3586404890996
17.001519,18.000484,0.9989650249481201,240244608,1923948102.2869787,False,False,17,summary,,,2021-01-23 17:54:22.000484,1923.9481022869786,TCP,downlink,1912.2781596039406
18.000484,19.000092,0.9996079802513123,238819104,1911302100.1689746,False,False,18,summary,,,2021-01-23 17:54:23.000092,1911.3021001689747,TCP,downlink,1918.0840084916242
19.000092,20.001339,1.0012470483779907,234914112,1876972220.8364723,False,False,19,summary,,,2021-01-23 17:54:24.001339,1876.9722208364722,TCP,downlink,1904.074141097475
20.001339,21.001611,1.0002720355987549,230294048,1841851334.8693013,False,False,20,summary,,,2021-01-23 17:54:25.001611,1841.8513348693014,TCP,downlink,1876.708551958249
21.001611,22.01282,1.0112090110778809,216680704,1714230799.9730575,False,False,21,summary,,,2021-01-23 17:54:26.012820,1714.2307999730574,TCP,downlink,1811.01811855961
22.01282,23.000059,0.9872390031814575,184255968,1493101203.7103093,False,False,22,summary,,,2021-01-23 17:54:27.000059,1493.1012037103092,TCP,downlink,1683.061112850889
23.000059,24.001432,1.001373052597046,228250944,1823503785.3917449,False,False,23,summary,,,2021-01-23 17:54:28.001432,1823.503785391745,TCP,downlink,1676.9452630250369
24.001432,25.001395,0.9999629855155945,230484352,1843943068.6019573,False,False,24,summary,,,2021-01-23 17:54:29.001395,1843.9430686019573,TCP,downlink,1720.1826859013365
25.001395,26.00018,0.9987850189208984,232114144,1859172010.8159366,False,False,25,summary,,,2021-01-23 17:54:30.000180,1859.1720108159366,TCP,downlink,1842.206288269879
26.00018,27.003465,1.0032850503921509,231373344,1844926076.8676963,False,False,26,summary,,,2021-01-23 17:54:31.003465,1844.9260768676963,TCP,downlink,1849.3470520951962
27.003465,28.002126,0.9986609816551208,229404928,1837700138.1974332,False,False,27,summary,,,2021-01-23 17:54:32.002126,1837.7001381974333,TCP,downlink,1847.2660752936881
28.002126,29.000871,0.9987450242042542,227397536,1821466183.9736564,False,False,28,summary,,,2021-01-23 17:54:33.000871,1821.4661839736564,TCP,downlink,1834.6974663462613
29.000871,30.000318,0.9994469881057739,230141888,1842153836.9828458,False,False,29,summary,,,2021-01-23 17:54:34.000318,1842.1538369828459,TCP,downlink,1833.7733863846443
