start,end,seconds,bytes,bits_per_second,omitted,sender,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,1.005907,1.0059070587158203,108249920,860913891.0960305,False,False,0,tcp8,,,860.9138910960305,TCP,downlink,860.9138910960305,0.0,60338,jan,west2
1.005907,2.004726,0.9988189935684204,237139680,1899360597.0810416,False,False,1,tcp8,,,1899.3605970810415,TCP,downlink,1380.1372440885361,0.998819,60338,jan,west2
2.004726,3.000051,0.9953250288963318,229303328,1843042795.8132508,False,False,2,tcp8,,,1843.0427958132507,TCP,downlink,1534.439094663441,1.9941440000000001,60338,jan,west2
3.000051,4.005441,1.0053900480270386,234916768,1869258749.5648832,False,False,3,tcp8,,,1869.2587495648831,TCP,downlink,1870.554047486392,2.999534,60338,jan,west2
4.005441,5.000248,0.9948070049285889,239027712,1922203690.289924,False,False,4,tcp8,,,1922.203690289924,TCP,downlink,1878.1684118893527,3.9943410000000004,60338,jan,west2
5.000248,6.001338,1.0010900497436523,238301824,1904338768.0140991,False,False,5,tcp8,,,1904.338768014099,TCP,downlink,1898.600402622969,4.995431,60338,jan,west2
6.001338,7.000617,0.9992790222167969,238738240,1911283913.2388387,False,False,6,tcp8,,,1911.2839132388387,TCP,downlink,1912.6087905142876,5.99471,60338,jan,west2
7.000617,8.000863,1.0002460479736328,235793824,1885886573.4301062,False,False,7,tcp8,,,1885.8865734301062,TCP,downlink,1900.5030848943486,6.994956,60338,jan,west2
8.000863,9.000945,1.000082015991211,238759456,1909919004.0997462,False,False,8,tcp8,,,1909.9190040997462,TCP,downlink,1902.3631635895642,7.995038,60338,jan,west2
9.000945,10.002018,1.0010730028152466,238957600,1909611781.1827629,False,False,9,tcp8,,,1909.6117811827628,TCP,downlink,1901.8057862375388,8.996111,60338,jan,west2
10.002018,11.000494,0.9984760284423828,240593568,1927686283.0674036,False,False,10,tcp8,,,1927.6862830674036,TCP,downlink,1915.7390227833046,9.994587000000001,60338,jan,west2
11.000494,12.000087,0.9995930194854736,233980512,1872606210.2389483,False,False,11,tcp8,,,1872.6062102389483,TCP,downlink,1903.301424829705,10.99418,60338,jan,west2
12.000087,13.002504,1.002416968345642,207534912,1656276129.0245051,False,False,12,tcp8,,,1656.276129024505,TCP,downlink,1818.8562074436193,11.996597000000001,60338,jan,west2
13.002504,14.000063,0.9975590109825134,235777664,1890836823.9210505,False,False,13,tcp8,,,1890.8368239210506,TCP,downlink,1806.5730543948348,12.994156,60338,jan,west2
14.000063,15.00436,1.0042970180511475,238964672,1903537839.542444,False,False,14,tcp8,,,1903.537839542444,TCP,downlink,1816.8835974960002,13.998453000000001,60338,jan,west2
15.00436,16.007502,1.00314199924469,229216352,1827987281.3427184,False,False,15,tcp8,,,1827.9872813427185,TCP,downlink,1874.1206482687378,15.001595000000002,60338,jan,west2
16.007502,17.000223,0.9927210211753845,235212128,1895494286.7756193,False,False,16,tcp8,,,1895.4942867756192,TCP,downlink,1875.6731358869274,15.994316000000001,60338,jan,west2
17.000223,18.001377,1.0011539459228516,236020192,1885985211.0551445,False,False,17,tcp8,,,1885.9852110551446,TCP,downlink,1869.8222597244942,16.99547,60338,jan,west2
18.001377,19.005095,1.0037180185317993,236849792,1887779536.6986032,False,False,18,tcp8,,,1887.7795366986031,TCP,downlink,1889.753011509789,17.999188,60338,jan,west2
19.005095,20.000683,0.9955880045890808,233010432,1872344230.1510875,False,False,19,tcp8,,,1872.3442301510875,TCP,downlink,1882.0363259682788,18.994776,60338,jan,west2
20.000683,21.00272,1.0020370483398438,225586336,1801021919.2892895,False,False,20,tcp8,,,1801.0219192892894,TCP,downlink,1853.7152287129936,19.996813,60338,jan,west2
21.00272,22.002584,0.9998639822006226,222271968,1778417640.4538286,False,False,21,tcp8,,,1778.4176404538287,TCP,downlink,1817.2612632980688,20.996677000000002,60338,jan,west2
22.002584,23.001447,0.9988629817962646,226124192,1811052735.9286757,False,False,22,tcp8,,,1811.0527359286757,TCP,downlink,1796.8307652239316,21.995540000000002,60338,jan,west2
23.001447,24.002321,1.0008740425109863,225054848,1798866498.2089763,False,False,23,tcp8,,,1798.8664982089763,TCP,downlink,1796.1122915304938,22.996414,60338,jan,west2
24.002321,25.00267,1.0003490447998047,227687712,1820866132.1454341,False,False,24,tcp8,,,1820.8661321454342,TCP,downlink,1810.2617887610293,23.996763,60338,jan,west2
25.00267,26.000561,0.9978910088539124,222538432,1784070043.9266415,False,False,25,tcp8,,,1784.0700439266416,TCP,downlink,1801.2675580936848,24.994654,60338,jan,west2
26.000561,27.039084,1.0385229587554932,193989312,1494347797.4331217,False,False,26,tcp8,,,1494.3477974331217,TCP,downlink,1699.7613245017335,26.033177000000002,60338,jan,west2
27.039084,28.000218,0.9611340165138245,231323648,1925422628.066335,False,False,27,tcp8,,,1925.422628066335,TCP,downlink,1734.6134898087003,26.994311000000003,60338,jan,west2
28.000218,29.000761,1.0005429983139038,233571168,1867555264.6401782,False,False,28,tcp8,,,1867.5552646401782,TCP,downlink,1762.4418967132126,27.994854,60338,jan,west2
29.000761,30.002349,1.001587986946106,224700736,1794755839.155973,False,False,29,tcp8,,,1794.755839155973,TCP,downlink,1862.57791062083,28.996442000000002,60338,jan,west2
