start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,1.000108,1.000108003616333,202530688,1620070530.523989,0.0035746729892279453,43036,190224,22.623853982673058,False,False,0,udp,,,1620.070530523989,UDP,downlink,1620.070530523989,0.0,64642,dec,west-central
1.000108,2.000016,0.9999079704284668,201171200,1609517723.2264435,0.002131898425637893,25099,171299,14.652157922696572,False,False,1,udp,,,1609.5177232264434,UDP,downlink,1614.794126875216,0.999908,64642,dec,west-central
2.000016,3.000099,1.0000829696655273,195581888,1564525295.8594935,0.002799325514178186,26986,169124,15.956339727064165,False,False,2,udp,,,1564.5252958594936,UDP,downlink,1598.0378498699754,1.999991,64642,dec,west-central
3.000099,4.000016,0.9999169707298279,204170880,1633502668.5343926,0.003308838178785654,21147,169527,12.474119166858376,False,False,3,udp,,,1633.5026685343926,UDP,downlink,1602.5152292067767,2.999908,64642,dec,west-central
4.000016,5.000014,0.9999979734420776,196157056,1569259628.1955318,0.005156507287937549,28724,171280,16.77020084072863,False,False,4,udp,,,1569.2596281955318,UDP,downlink,1589.0958641964728,3.999906,64642,dec,west-central
5.000014,6.000015,1.0000009536743164,201718848,1613749245.008792,0.0033361338066618083,24493,171091,14.315773477272328,False,False,5,udp,,,1613.7492450087918,UDP,downlink,1605.503847246239,4.999907,64642,dec,west-central
6.000015,7.000086,1.0000710487365723,192463872,1539601589.252259,0.0073019007122537075,30204,170076,17.759119452480068,False,False,6,udp,,,1539.601589252259,UDP,downlink,1574.2034874855278,5.9999780000000005,64642,dec,west-central
7.000086,8.000109,1.0000230073928833,201692704,1613504509.4678316,0.0027956629111685546,23141,169720,13.634810275748292,False,False,7,udp,,,1613.5045094678317,UDP,downlink,1588.951781242961,7.000001,64642,dec,west-central
8.000109,9.000016,0.9999070167541504,195996064,1568114320.3593702,0.003181390676554243,27687,170126,16.274408379671538,False,False,8,udp,,,1568.1143203593701,UDP,downlink,1573.7401396931537,7.9999080000000005,64642,dec,west-central
9.000016,10.000015,0.9999989867210388,196004320,1568036148.85804,0.004847414359251601,27049,169494,15.958677003315751,False,False,9,udp,,,1568.0361488580402,UDP,downlink,1583.218326228414,8.999907,64642,dec,west-central
10.000015,11.000016,1.0000009536743164,190318688,1522548051.9850273,0.004889013732306034,31802,170115,18.694412603238984,False,False,10,udp,,,1522.5480519850273,UDP,downlink,1552.8995070674791,9.999908000000001,64642,dec,west-central
11.000016,12.000085,1.00006902217865,185614144,1484810667.1328719,0.003145943211246862,35059,169953,20.628644389919565,False,False,11,udp,,,1484.810667132872,UDP,downlink,1525.1316226586462,10.999977000000001,64642,dec,west-central
12.000085,13.000015,0.9999300241470337,196081376,1568760783.3739166,0.009236783485252517,28468,170969,16.650971813603636,False,False,12,udp,,,1568.7607833739166,UDP,downlink,1525.3731674972717,11.999907,64642,dec,west-central
13.000015,14.000016,1.0000009536743164,189720128,1517759576.5516734,0.004594276531700678,32222,170100,18.9429747207525,False,False,13,udp,,,1517.7595765516735,UDP,downlink,1523.7770090194872,12.999908000000001,64642,dec,west-central
14.000016,15.000026,1.0000100135803223,211121056,1688951535.5481384,0.01056443449986775,17479,170910,10.227020069042187,False,False,14,udp,,,1688.9515355481383,UDP,downlink,1591.823965157909,13.999918000000001,64642,dec,west-central
15.000026,16.000021,0.9999949932098389,187173152,1497392713.1311035,0.016504047739873406,34583,170610,20.270206904636304,False,False,15,udp,,,1497.3927131311036,UDP,downlink,1568.0346084103048,14.999913000000001,64642,dec,west-central
16.000021,17.000081,1.000059962272644,185457280,1483569281.8142376,0.003179646145603531,35190,169970,20.70365358592693,False,False,16,udp,,,1483.5692818142377,UDP,downlink,1556.6378434978262,15.999973,64642,dec,west-central
17.000081,18.000016,0.99993497133255,181853536,1454922899.6974096,0.0034999834811743112,37897,170058,22.284749908854625,False,False,17,udp,,,1454.9228996974095,UDP,downlink,1478.6282982142502,16.999908,64642,dec,west-central
18.000016,19.000015,0.9999989867210388,194234784,1553879846.5137568,0.003076551225354943,28733,169892,16.91250912344313,False,False,18,udp,,,1553.8798465137568,UDP,downlink,1497.4573426751347,17.999907,64642,dec,west-central
19.000015,20.000015,1.0,203244832,1625958656.0,0.002362150729857094,23858,171565,13.906099728965698,False,False,19,udp,,,1625.958656,UDP,downlink,1544.920467403722,18.999907,64642,dec,west-central
20.000015,21.000017,1.0000020265579224,193453216,1547622591.653176,0.004927882747935454,30301,170892,17.73108161880018,False,False,20,udp,,,1547.622591653176,UDP,downlink,1575.8203647223106,19.999909000000002,64642,dec,west-central
21.000017,22.000017,1.0,199661728,1597293824.0,0.012986896656918037,24434,169537,14.412193208562142,False,False,21,udp,,,1597.293824,UDP,downlink,1590.2916905510583,20.999909000000002,64642,dec,west-central
22.000017,23.000079,1.0000619888305664,181001792,1447924580.8484848,0.00277208123438587,38723,170265,22.742783308372243,False,False,22,udp,,,1447.9245808484848,UDP,downlink,1530.9469988338867,21.999971000000002,64642,dec,west-central
23.000079,24.000017,0.9999380111694336,203502144,1628118077.1356256,0.030497838374738653,21495,169389,12.689726015266634,False,False,23,udp,,,1628.1180771356255,UDP,downlink,1557.7788273280366,22.999909000000002,64642,dec,west-central
24.000017,25.000017,1.0,194691616,1557532928.0,0.0030281275320896556,27467,168958,16.2567028492288,False,False,24,udp,,,1557.532928,UDP,downlink,1544.5251953280367,23.999909000000002,64642,dec,west-central
25.000017,26.000015,0.9999979734420776,198772832,1590185878.6037903,0.00266355654279048,25833,170290,15.1700041106348,False,False,25,udp,,,1590.1858786037903,UDP,downlink,1591.9456279131384,24.999907,64642,dec,west-central
