start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,0.500107,0.500107,2792064,44663461.55806,0,False,0,tcp1d,77.639,0.88064,44.66346155806,TCP,downlink,44.66346155806,0.0,64313,dec,east2
0.500107,1.000068,0.499961,19136512,306207991.84983,0,False,1,tcp1d,46.925,2.347456,306.20799184982997,TCP,downlink,175.435726703945,0.49996100000000004,64313,dec,east2
1.000068,1.500084,0.500016,28835840,461358700.4709,0,False,2,tcp1d,45.584,2.922624,461.3587004709,TCP,downlink,270.7433846262633,0.9999770000000001,64313,dec,east2
1.500084,2.000078,0.499994,29491200,471865050.072528,0,False,3,tcp1d,46.294,2.922624,471.865050072528,TCP,downlink,413.143914131086,1.4999710000000002,64313,dec,east2
2.000078,2.500109,0.500031,26476544,423598445.627726,0,False,4,tcp1d,52.093,2.922624,423.598445627726,TCP,downlink,452.2740653903847,2.0000020000000003,64313,dec,east2
2.500109,3.000074,0.499965,29622272,473989350.297283,0,False,5,tcp1d,46.384,2.922624,473.989350297283,TCP,downlink,456.484281999179,2.4999670000000003,64313,dec,east2
3.000074,3.500076,0.500002,29753344,476051688.006927,0,False,6,tcp1d,47.695,2.922624,476.051688006927,TCP,downlink,457.879827977312,2.999969,64313,dec,east2
3.500076,4.000092,0.500016,29753344,476038295.485883,0,False,7,tcp1d,47.475,2.922624,476.038295485883,TCP,downlink,475.359777930031,3.499985,64313,dec,east2
4.000092,4.500054,0.499962,28966912,463505733.664339,0,False,8,tcp1d,47.72,2.922624,463.505733664339,TCP,downlink,471.865239052383,3.999947,64313,dec,east2
4.500054,5.000074,0.50002,30015488,480228572.770454,0,False,9,tcp1d,48.402,2.922624,480.228572770454,TCP,downlink,473.2575339735586,4.499967000000001,64313,dec,east2
5.000074,5.500094,0.50002,27918336,446675484.716623,0,False,10,tcp1d,45.84,2.922624,446.67548471662303,TCP,downlink,463.4699303838053,4.999987,64313,dec,east2
5.500094,6.000144,0.50005,30801920,492781609.894262,0,False,11,tcp1d,47.868,2.922624,492.78160989426203,TCP,downlink,473.22855579377966,5.500037000000001,64313,dec,east2
6.000144,6.500139,0.499995,28966912,463475233.046474,0,False,12,tcp1d,46.857,2.922624,463.475233046474,TCP,downlink,467.6441092191197,6.000032,64313,dec,east2
6.500139,7.000082,0.499943,30539776,488692109.347041,0,False,13,tcp1d,46.479,2.922624,488.692109347041,TCP,downlink,481.64965076259233,6.499975,64313,dec,east2
7.000082,7.500149,0.500067,28573696,457117886.206936,0,False,14,tcp1d,47.895,2.922624,457.117886206936,TCP,downlink,469.761742866817,7.0000420000000005,64313,dec,east2
7.500149,8.000156,0.500007,29229056,467658206.0957,0,False,15,tcp1d,47.187,2.922624,467.65820609570005,TCP,downlink,471.156067216559,7.500049000000001,64313,dec,east2
8.000156,8.500086,0.49993,28966912,463535575.10999,0,False,16,tcp1d,46.902,2.922624,463.53557510999,TCP,downlink,462.7705558042087,7.999979000000001,64313,dec,east2
8.500086,9.000093,0.500007,29622272,473949798.090629,0,False,17,tcp1d,47.128,2.922624,473.949798090629,TCP,downlink,468.38119309877305,8.499986,64313,dec,east2
9.000093,9.500153,0.50006,24772608,396314105.722434,0,False,18,tcp1d,59.662,2.922624,396.31410572243396,TCP,downlink,444.5998263076844,9.000046000000001,64313,dec,east2
9.500153,10.000087,0.499934,29097984,465629246.12344,0,False,19,tcp1d,45.903,2.922624,465.62924612344005,TCP,downlink,445.297716645501,9.49998,64313,dec,east2
10.000087,10.500085,0.499998,28311552,452986560.006592,0,False,20,tcp1d,47.684,2.922624,452.98656000659196,TCP,downlink,438.30997061748866,9.999978,64313,dec,east2
10.500085,11.000073,0.499988,30670848,490745502.290226,0,False,21,tcp1d,45.935,2.922624,490.745502290226,TCP,downlink,469.78710280675267,10.499966,64313,dec,east2
11.000073,11.500094,0.500021,29229056,467645049.842241,0,False,22,tcp1d,46.342,2.922624,467.645049842241,TCP,downlink,470.4590373796863,10.999987,64313,dec,east2
11.500094,12.000076,0.499982,29097984,465584616.611457,0,False,23,tcp1d,46.881,2.922624,465.58461661145697,TCP,downlink,474.658389581308,11.499969,64313,dec,east2
12.000076,12.500083,0.500007,28966912,463464183.088624,0,False,24,tcp1d,46.52,2.922624,463.464183088624,TCP,downlink,465.5646165141073,11.999976,64313,dec,east2
12.500083,13.000084,0.500001,29360128,469760928.00267,0,False,25,tcp1d,46.189,2.922624,469.76092800266997,TCP,downlink,466.2699092342503,12.499977000000001,64313,dec,east2
13.000084,13.500082,0.499998,29753344,476055547.008768,0,False,26,tcp1d,46.313,2.922624,476.05554700876803,TCP,downlink,469.7602193666873,12.999975000000001,64313,dec,east2
13.500082,14.000083,0.500001,28835840,461372560.001678,0,False,27,tcp1d,48.339,2.922624,461.372560001678,TCP,downlink,469.0630116710386,13.499976,64313,dec,east2
14.000083,14.500141,0.500058,29753344,475998122.443548,0,False,28,tcp1d,46.976,2.922624,475.998122443548,TCP,downlink,471.14207648466464,14.000034000000001,64313,dec,east2
14.500141,15.000155,0.500014,30015488,480234526.367324,0,False,29,tcp1d,48.038,2.922624,480.234526367324,TCP,downlink,472.53506960418326,14.500048000000001,64313,dec,east2
15.000155,15.500068,0.499913,28966912,463551049.964986,0,False,30,tcp1d,46.396,2.922624,463.551049964986,TCP,downlink,473.2612329252859,14.999961,64313,dec,east2
15.500068,16.000074,0.500006,30146560,482339210.068545,0,False,31,tcp1d,50.327,2.922624,482.33921006854496,TCP,downlink,475.374928800285,15.499967000000002,64313,dec,east2
16.000074,16.500095,0.500021,29491200,471839400.830806,0,False,32,tcp1d,47.427,2.922624,471.839400830806,TCP,downlink,472.5765536214456,15.999988000000002,64313,dec,east2
16.500095,17.000152,0.500057,30015488,480193083.236657,0,False,33,tcp1d,46.141,2.922624,480.193083236657,TCP,downlink,478.1238980453359,16.500045,64313,dec,east2
17.000152,17.500074,0.499922,29491200,471932786.474026,0,False,34,tcp1d,46.544,2.922624,471.93278647402605,TCP,downlink,474.65509018049625,16.999967,64313,dec,east2
