parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_socket,_start,_end,_seconds,_bytes,bits_per_second,rtt,snd_cwnd,session_num,conn_num,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:34-06:00,12:41:34,,0.0,1.0,1.0,,463000000.0,-1,-1,1,,parallel-merged,463.0,20074,S20UPM,0
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:39-06:00,12:41:39,,5.0,6.0,1.0,,29300000.0,-1,-1,1,,parallel-merged,29.3,20074,S20UPM,5
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:40-06:00,12:41:40,,6.0,7.0,1.0,,36800000.0,-1,-1,1,,parallel-merged,36.8,20074,S20UPM,6
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:41-06:00,12:41:41,,7.0,8.0,1.0,,39800000.0,-1,-1,1,,parallel-merged,39.8,20074,S20UPM,7
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:42-06:00,12:41:42,,8.0,9.0,1.0,,38900000.0,-1,-1,1,,parallel-merged,38.9,20074,S20UPM,8
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:43-06:00,12:41:43,,9.0,10.0,1.0,,41900000.0,-1,-1,1,,parallel-merged,41.9,20074,S20UPM,9
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:46-06:00,12:41:46,,12.0,13.0,1.0,,34600000.0,-1,-1,1,,parallel-merged,34.6,20074,S20UPM,12
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:47-06:00,12:41:47,,13.0,14.0,1.0,,40900000.0,-1,-1,1,,parallel-merged,40.9,20074,S20UPM,13
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:48-06:00,12:41:48,,14.0,15.0,1.0,,36700000.0,-1,-1,1,,parallel-merged,36.7,20074,S20UPM,14
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:49-06:00,12:41:49,,15.0,16.0,1.0,,36700000.0,-1,-1,1,,parallel-merged,36.7,20074,S20UPM,15
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:50-06:00,12:41:50,,16.0,17.0,1.0,,34600000.0,-1,-1,1,,parallel-merged,34.6,20074,S20UPM,16
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:51-06:00,12:41:51,,17.0,18.0,1.0,,32500000.0,-1,-1,1,,parallel-merged,32.5,20074,S20UPM,17
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:54-06:00,12:41:54,,20.0,21.0,1.0,,32600000.0,-1,-1,1,,parallel-merged,32.6,20074,S20UPM,20
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:55-06:00,12:41:55,,21.0,22.0,1.0,,37700000.0,-1,-1,1,,parallel-merged,37.7,20074,S20UPM,21
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:56-06:00,12:41:56,,22.0,23.0,1.0,,34700000.0,-1,-1,1,,parallel-merged,34.7,20074,S20UPM,22
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:41:59-06:00,12:41:59,,25.0,26.0,1.0,,17800000.0,-1,-1,1,,parallel-merged,17.8,20074,S20UPM,25
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:42:00-06:00,12:42:00,,26.0,27.0,1.0,,8390000.0,-1,-1,1,,parallel-merged,8.39,20074,S20UPM,26
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:42:01-06:00,12:42:01,,27.0,28.0,1.0,,10500000.0,-1,-1,1,,parallel-merged,10.5,20074,S20UPM,27
S20UPM-run20074-iPerf.txt,S20UPM-run20074-iPerf,TCP,0,2021-01-24 12:41:33 CST,2021-01-24 12:42:02-06:00,12:42:02,,28.0,29.0,1.0,,14700000.0,-1,-1,1,,parallel-merged,14.7,20074,S20UPM,28
