timestamp,downlink_rolled_mbps_3,uplink_rolled_mbps_3,downlink_rolled_mbps_4,uplink_rolled_mbps_4,downlink_rolled_mbps_2,uplink_rolled_mbps_2,sw_power_baseline,avg_power_baseline,nr_ssRsrp_avg,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nrStatus,nr_ssSinr_avg,provider,direction,network_type,sw_power_rolled,avg_power_rolled,avg_power,sw_power,downlink_mbps,uplink_mbps,Throughput
2021-01-16 22:43:57,871.4502399999841,0.8774933333345981,700.9277999999816,0.7525320000008939,971.540064000003,0.9977919999998959,4533.101725000008,4914.557528999637,-93.8,-92.0,-92.0,12.0,-93.8,CONNECTED,11.8,Verizon,downlink,,6932.395120000008,7313.850923999694,7313.884240000011,6781.929,1013.109888,1.06896,983.0
2021-01-16 22:43:58,1050.565503999984,1.0527466666679315,955.7417759999817,0.948784000000894,1110.863136000003,1.1158079999998958,4467.287205000008,4691.025114999649,-92.0,-92.0,-92.0,10.0,-92.0,CONNECTED,9.9,Verizon,downlink,,6866.580600000008,7090.318509999709,7089.126119999979,6993.9209999999985,1208.616384,1.162656,1150.0
2021-01-16 22:43:59,1078.4448639999841,1.0103893333345983,1041.3262079999818,0.9894480000008941,1111.1123520000028,0.9811039999998957,4394.723505000006,5132.224186999665,-92.4,-92.0,-92.0,10.0,-92.4,CONNECTED,9.2,Verizon,downlink,,6794.016900000009,7531.517581999691,7532.3037600000025,7113.348000000001,1013.60832,0.799552,971.0
2021-01-16 22:44:00,1041.9740373333173,0.9075946666679316,1034.7579999999818,0.9479360000008942,958.6528640000029,0.7800639999998958,4259.977905000007,5184.051812999646,-94.0,-94.0,-94.0,12.0,-94.0,CONNECTED,10.2,Verizon,downlink,,6659.2713000000085,7583.345207999677,7581.283320000022,6590.991,903.697408,0.760576,830.0
2021-01-16 22:44:01,916.904767999984,0.7499520000012652,989.8326719999818,0.8531280000008943,868.5529920000027,0.7251519999998958,4258.090305000007,4529.386000878883,-94.0,-94.0,-94.0,14.0,-94.0,CONNECTED,12.4,Verizon,downlink,,6657.3837000000085,6928.679395878847,6930.1837767553625,6759.786,833.4085759999998,0.689728,856.0
2021-01-16 22:44:02,916.0747626666507,0.7461546666679318,940.4581519999817,0.7595040000008944,922.2634400000027,0.7389439999998959,4336.607205000006,4755.45254899971,-94.0,-94.0,-94.0,14.0,-94.0,CONNECTED,13.8,Verizon,downlink,,6735.900600000006,7154.745943999681,7155.7723600000045,7638.245999999999,1011.118304,0.7881600000000001,992.0
2021-01-16 22:44:03,942.1792426666507,0.7382080000012653,932.5587839999816,0.7438000000008944,996.5645760000027,0.7624479999998959,4434.980205000005,5660.611258999718,-94.4,-94.0,-94.0,13.0,-94.4,CONNECTED,12.6,Verizon,downlink,,6834.273600000006,8059.9046539997,8059.86279999999,7776.911999999998,982.010848,0.736736,915.0
2021-01-16 22:44:04,992.9641279999842,0.736266666667932,953.0752399999817,0.7246320000008944,983.8870400000026,0.7103199999998959,4701.857805000007,5644.109206999717,-95.4,-93.0,-93.0,16.0,-95.4,CONNECTED,12.0,Verizon,downlink,,7101.151200000008,8043.402601999694,8042.525539999984,8073.483,985.763232,0.683904,959.0
2021-01-16 22:44:05,991.9816373333174,0.7246986666679319,996.7658039999817,0.7405640000008944,996.9670320000027,0.7186799999998958,4796.274105000008,5742.069792999738,-93.0,-93.0,-93.0,16.0,-93.0,CONNECTED,14.8,Verizon,downlink,,7195.567500000007,8141.363187999705,8141.344639999977,7664.745,1008.170832,0.753456,940.0
2021-01-16 22:44:06,993.2883039999841,0.7095840000012652,990.4689399999817,0.7163720000008944,997.0508400000027,0.7224239999998958,4892.686905000008,5570.866450999734,-93.0,-93.0,-93.0,15.0,-93.0,CONNECTED,11.0,Verizon,downlink,,7291.980300000007,7970.159845999685,7970.081979999988,7526.441999999999,985.930848,0.691392,984.0
2021-01-16 22:44:07,1020.3157173333175,0.7432800000012652,1011.6775959999818,0.7284360000008944,1026.3881600000027,0.7381919999998958,5021.080005000007,5560.210422999701,-93.0,-93.0,-93.0,15.0,-93.0,CONNECTED,15.0,Verizon,downlink,,7420.373400000009,7959.503817999709,7960.173140000001,8065.86,1066.845472,0.784992,1050.0
2021-01-16 22:44:08,1042.7384533333177,0.7795306666679318,1034.0965479999818,0.7730120000008943,1071.1422560000028,0.8235999999998957,5098.653105000007,5777.758235325809,-93.0,-93.0,-93.0,15.0,-93.0,CONNECTED,14.8,Verizon,downlink,,7497.946500000007,8177.051630325774,8176.626925385084,7769.651999999999,1075.43904,0.862208,1040.0
2021-01-16 22:44:09,1097.8033599999842,0.9084373333345984,1069.8352319999817,0.8541760000008944,1113.2823040000028,0.970159999999896,5110.087605000006,5755.155432999736,-93.0,-93.0,-93.0,15.0,-93.0,CONNECTED,14.2,Verizon,downlink,,7509.3810000000085,8154.448827999678,8155.054559999988,7227.693,1151.125568,1.0781120000000002,1110.0
2021-01-16 22:44:10,1097.2579733333175,0.9668373333345985,1089.6548479999817,0.9213760000008945,1108.167440000003,1.0191519999998961,5132.412105000009,5003.146956999748,-92.6,-91.0,-91.0,16.0,-92.6,CONNECTED,15.2,Verizon,downlink,,7531.705500000008,7402.440351999678,7401.8659399999915,6814.236,1065.209312,0.960192,1020.0
2021-01-16 22:44:11,1130.679583999984,0.9767360000012654,1116.8694479999817,0.9481040000008945,1120.456592000003,0.9260479999998962,5186.571705000008,4718.572968999738,-91.0,-91.0,-91.0,16.0,-91.0,CONNECTED,16.0,Verizon,downlink,,7585.865100000007,7117.866363999709,7116.713819999978,7301.382,1175.703872,0.8919040000000001,1130.0
2021-01-16 22:44:12,1106.2474986666507,0.8698773333345985,1117.4670159999816,0.9219360000008945,1126.7665920000027,0.8247199999998962,5230.385805000007,5451.5109889997475,-91.4,-91.0,-91.0,16.0,-91.4,CONNECTED,15.8,Verizon,downlink,,7629.679200000009,7850.804383999707,7851.67246,8076.387,1077.8293119999996,0.757536,1040.0
2021-01-16 22:44:13,1078.3982079999842,0.7984426666679317,1075.1009839999815,0.8388800000008945,1029.7453760000026,0.751711999999896,5215.684305000008,5814.835370999761,-93.0,-93.0,-93.0,15.0,-93.0,CONNECTED,14.8,Verizon,downlink,,7614.977700000009,8214.128765999765,8214.396860000006,7629.897,981.66144,0.745888,947.0
2021-01-16 22:44:14,994.7836799999841,0.7759360000012651,1040.0137279999815,0.8049280000008945,953.2608640000027,0.7851359999998961,5047.579005000007,5396.088388999745,-93.4,-93.0,-93.0,16.0,-93.4,CONNECTED,14.4,Verizon,downlink,,7446.872400000006,7795.381783999732,7795.596880000015,6392.43,924.860288,0.824384,878.0
2021-01-16 22:44:15,962.1418773333174,0.7751786666679318,991.0637359999814,0.7707680000008944,952.3820960000028,0.7898239999998962,4976.358405000008,4629.41996899979,-94.6,-93.0,-93.0,18.0,-94.6,CONNECTED,16.4,Verizon,downlink,,7375.651800000009,7028.713363999818,7028.478299999985,6952.539000000002,979.903904,0.755264,958.0
2021-01-16 22:44:16,980.0716586666508,0.7699093333345984,980.4691039999816,0.7639040000008944,1007.6773440000029,0.7426719999998962,4993.274205000009,5106.454764631702,-93.0,-93.0,-93.0,18.0,-93.0,CONNECTED,16.8,Verizon,downlink,,7392.5676000000085,7505.7481596317175,7504.545029005826,7695.6,1035.450784,0.7300800000000001,960.0
2021-01-16 22:44:17,1046.016127999984,0.7506773333345983,1015.7271679999817,0.7691040000008944,1079.0722400000031,0.7483839999998962,4973.018805000009,5735.667666999792,-93.0,-93.0,-93.0,15.0,-93.0,CONNECTED,12.6,Verizon,downlink,,7372.3122000000085,8134.961061999781,8136.068819999973,7863.305999999999,1122.693696,0.766688,1100.0
2021-01-16 22:44:18,1087.318975999984,0.7515733333345983,1060.4652079999817,0.7524960000008944,1113.253072000003,0.7623199999998962,4982.684705000009,5844.119250999786,-93.6,-93.0,-93.0,15.0,-93.6,CONNECTED,14.0,Verizon,downlink,,7381.978100000008,8243.412645999788,8243.22619999999,7866.311,1103.812448,0.7579520000000001,1090.0
2021-01-16 22:44:19,1138.3912746666508,0.7795733333345983,1112.6561519999816,0.7672000000008945,1146.2400640000028,0.7860159999998962,5057.07666500001,5853.604544999773,-95.4,-93.0,-93.0,14.0,-95.4,CONNECTED,10.8,Verizon,downlink,,7456.37006000001,8252.897939999833,8253.354519999992,7971.612600000001,1188.66768,0.81408,1080.0
2021-01-16 22:44:20,1017.8957866666509,0.755104000001265,1044.0952639999814,0.7580000000008945,974.9374560000027,0.7536799999998962,5079.742885000009,5889.309214999769,-94.0,-93.0,-93.0,14.0,-94.0,CONNECTED,14.0,Verizon,downlink,,7479.036280000008,8288.602609999802,8288.518040000017,7040.8982,761.207232,0.69328,721.0
2021-01-16 22:44:21,932.4750826666508,0.751264000001265,975.3094239999814,0.7529360000008944,804.3787840000027,0.7198559999998961,4996.837775000009,4765.970976999761,-98.0,-98.0,-98.0,14.0,-98.0,CONNECTED,13.8,Verizon,downlink,,7396.13117000001,7165.2643719998205,7163.566560000006,6472.3309,847.5503359999999,0.746432,862.0
2021-01-16 22:44:22,857.1440746666508,0.7349120000012649,940.0249759999815,0.7547040000008944,905.1124960000028,0.755727999999896,4907.5486650000075,4584.185414999786,-97.4,-95.0,-95.0,17.0,-97.4,CONNECTED,13.8,Verizon,downlink,,7306.842060000008,6983.478809999816,6983.575439999984,7183.4959,962.674656,0.7650239999999999,950.0
2021-01-16 22:44:23,890.3618453333174,0.7339520000012648,858.0731919999815,0.7237840000008944,911.7676000000029,0.727711999999896,4817.357525000009,5097.988569392694,-95.4,-95.0,-95.0,17.0,-95.4,CONNECTED,16.4,Verizon,downlink,,7216.650920000008,7497.281964392686,7498.7375875175085,6727.9856,860.860544,0.6904,817.0
2021-01-16 22:44:24,887.6466773333176,0.6913173333345982,877.6225919999815,0.7050960000008943,850.1326880000029,0.654463999999896,4855.289485000007,4634.26524499978,-97.0,-97.0,-97.0,14.0,-97.0,CONNECTED,14.0,Verizon,downlink,,7254.582880000007,7033.558639999834,7032.9439199999915,6771.7496,839.404832,0.618528,780.0
2021-01-16 22:44:25,885.0172586666508,0.6498986666679315,904.4316079999816,0.6786800000008943,897.0956160000028,0.6296479999998961,4932.3607750000065,4423.124760999771,-97.0,-97.0,-97.0,14.0,-97.0,CONNECTED,14.0,Verizon,downlink,,7331.654170000007,6822.418155999829,6823.525039999976,7723.2518999999975,954.7864,0.640768,960.0
2021-01-16 22:44:26,886.1040746666508,0.6230080000012649,879.7931919999814,0.6398560000008944,909.4536960000028,0.6252479999998961,4958.758525000007,5511.48633699977,-97.4,-97.0,-97.0,14.0,-97.4,CONNECTED,13.2,Verizon,downlink,,7358.051920000007,7910.779731999733,7911.763780000001,7959.5775,864.120992,0.6097279999999999,708.0
2021-01-16 22:44:27,662.3566186666508,0.4939946666679316,706.6186719999814,0.5251280000008944,516.1417280000028,0.42060799999989607,4812.075255000007,5707.5780109997595,-98.6,-97.0,-97.0,16.0,-98.6,CONNECTED,11.2,Verizon,downlink,,7211.3686500000085,8106.871405999751,8105.2116999999935,6396.4733,168.162464,0.231488,117.0
2021-01-16 22:44:28,395.8000639999841,0.36500266666793163,535.5466479999814,0.4339440000008944,161.63960000000276,0.2426399999998961,4639.854245000008,4352.797400999767,-97.0,-97.0,-97.0,16.0,-97.0,CONNECTED,16.0,Verizon,downlink,,7039.147640000007,6752.090795999765,6751.6990999999925,6144.1009,155.116736,0.253792,155.0
2021-01-16 22:44:29,188.15794133331744,0.2615573333345983,357.1487039999814,0.3486000000008944,198.1556800000028,0.2765919999998961,4495.433045000005,4040.4189509997727,-97.0,-97.0,-97.0,16.0,-97.0,CONNECTED,14.2,Verizon,downlink,,6894.726440000006,6439.712345999815,6438.4516199999925,6527.4006,241.19462400000003,0.299392,367.0
2021-01-16 22:44:30,400.10361599998413,0.39211733333459836,342.1183279999814,0.35196000000089445,522.5970560000028,0.4612799999998961,4541.125902777783,4158.621458999757,-97.33333333333331,-97.0,-97.0,11.0,-97.33333333333331,CONNECTED,7.4444444444444455,Verizon,downlink,,6940.419297777785,6557.914853999745,6559.389760000003,7497.826777777774,803.999488,0.623168,865.0
2021-01-16 22:44:31,654.7165226666508,0.5510186666679316,529.8165759999814,0.4767120000008945,861.4774720000029,0.6768319999998962,4673.110832777784,5459.293422363231,-99.8,-98.0,-98.0,17.0,-99.8,CONNECTED,11.6,Verizon,downlink,,7072.404227777784,7858.586817363207,7859.292818563705,7792.1802,918.955456,0.730496,887.0
2021-01-16 22:44:32,901.6240639999841,0.7491626666679316,736.5167039999815,0.6367200000008946,950.4363520000029,0.8121599999998961,4663.227462777786,5644.8144989997645,-98.0,-98.0,-98.0,17.0,-98.0,CONNECTED,16.6,Verizon,downlink,,7062.520857777786,8044.107893999746,8044.220019999999,7084.6622,981.917248,0.893824,906.0
2021-01-16 22:44:33,884.1561173333174,0.8526933333345982,864.1169599999814,0.7953120000008945,866.7564480000028,0.913791999999896,4626.538642777785,4810.543830999747,-98.0,-98.0,-98.0,13.0,-98.0,CONNECTED,12.9,Verizon,downlink,,7025.8320377777845,7209.837225999805,7209.222500000022,6361.0974,751.5956480000001,0.93376,678.0
2021-01-16 22:44:34,855.7757546666506,0.9125973333345981,871.5706799999815,0.8670720000008946,792.7050080000027,0.921983999999896,4640.616062777785,4439.975402999809,-98.2,-98.0,-98.0,12.0,-98.2,CONNECTED,11.6,Verizon,downlink,,7039.909457777784,6839.268797999843,6839.086799999997,6912.5238,833.814368,0.910208,886.0
2021-01-16 22:44:37,760.2753386666506,0.8042133333345981,815.6858159999814,0.8266160000008945,764.6151840000027,0.739439999999896,4578.799412777784,5309.6016109998745,-98.3,-98.0,-98.0,10.0,-98.3,CONNECTED,10.0,Verizon,downlink,,6978.092807777784,7708.895005999861,7709.671320000002,6945.3468,695.416,0.5686720000000001,659.0
2021-01-16 22:44:38,717.7272426666506,0.6761386666679314,726.1943439999814,0.7405440000008945,659.6836800000026,0.5591039999998959,4632.993832777784,4790.456144907831,-101.2,-101.0,-101.0,10.0,-101.2,CONNECTED,10.0,Verizon,downlink,,7032.287227777784,7189.749539907833,7188.421884376889,6686.0451,623.9513599999998,0.5495359999999999,647.0
2021-01-16 22:44:39,615.7098773333173,0.5135360000012649,670.2359999999813,0.6127040000008945,575.8568160000025,0.4859679999998959,4673.730822777785,4647.053696999841,-103.0,-103.0,-103.0,10.0,-103.0,CONNECTED,10.0,Verizon,downlink,,7073.0242177777845,7046.347091999845,7045.796280000009,6934.7705,527.7622719999998,0.4224,337.0
2021-01-16 22:44:40,482.06437333331723,0.43826133333459816,535.4022799999814,0.47086400000089457,411.12088000000256,0.382623999999896,4573.260025000007,4836.786514999854,-103.0,-103.0,-103.0,10.0,-103.0,CONNECTED,9.9,Verizon,downlink,,6972.553420000008,7236.079909999854,7235.16608,6493.1188,294.479488,0.342848,294.0
2021-01-16 22:44:41,311.038495999984,0.3248960000012649,389.26671199998134,0.3810560000008945,202.67660800000266,0.276143999999896,4418.736635000007,3832.507544999848,-103.0,-103.0,-103.0,9.0,-103.0,CONNECTED,8.9,Verizon,downlink,,6818.030030000006,6231.800939999841,6232.394940000005,6246.9463,110.873728,0.20944,116.0
2021-01-16 22:44:46,274.26476799998403,0.3875626666679315,337.6391439999814,0.3962720000008946,264.15740800000265,0.4099199999998959,4075.371585000005,4313.441327944358,-101.3,-101.0,-101.0,9.0,-101.3,CONNECTED,8.9,Verizon,downlink,,6474.664980000005,6712.734722944414,6713.165393078612,6227.6172,417.441088,0.6104,329.0
2021-01-16 22:44:47,236.21188266665072,0.4154240000012648,250.77878399998147,0.3972800000008946,298.88096000000263,0.5184159999998958,3978.835495000005,4226.509956999788,-103.6,-100.0,-100.0,13.0,-103.6,CONNECTED,8.5,Verizon,downlink,,6378.1288900000045,6625.803351999808,6623.714579999993,5979.9859,180.320832,0.426432,174.0
2021-01-16 22:44:48,249.56473599998404,0.4599893333345981,214.8919839999815,0.39735200000089455,165.62656000000263,0.38478399999989576,3934.175715000005,4042.1295189997636,-100.2,-100.0,-100.0,13.0,-100.2,CONNECTED,13.0,Verizon,downlink,,6333.469110000004,6441.4229139997815,6443.841700000006,6239.4473,150.932288,0.343136,219.0
2021-01-16 22:44:49,295.46330933331734,0.45261333333459813,325.9577539999815,0.4920600000008945,353.03454800000264,0.46570399999989587,3939.185705000005,4010.181394999751,-101.8,-100.0,-100.0,13.0,-101.8,CONNECTED,12.7,Verizon,downlink,,6338.479100000004,6409.474789999743,6408.905499999999,6984.8704,555.136808,0.588272,541.0
2021-01-16 22:44:52,469.10049333331744,0.5448800000012649,396.90557799998146,0.5152680000008945,628.1845960000027,0.645751999999896,4066.931685000005,4306.589668999742,-98.0,-98.0,-98.0,13.0,-98.0,CONNECTED,12.1,Verizon,downlink,,6466.225080000005,6705.883063999734,6705.985739999972,6841.9584,701.232384,0.703232,671.0
2021-01-16 22:44:53,657.7000559999841,0.6584693333345982,531.0081139999814,0.5796360000008944,708.9816800000026,0.693567999999896,4146.066545000003,4456.150638999706,-97.6,-94.0,-94.0,13.0,-97.6,CONNECTED,12.9,Verizon,downlink,,6545.359940000004,6855.444033999678,6854.573280000002,6911.7440000000015,716.7309759999998,0.683904,694.0
2021-01-16 22:44:54,721.0371279999841,0.6979786666679315,679.5620479999815,0.6705520000008944,730.9395000000027,0.695351999999896,4227.128325000003,4659.853202319213,-94.0,-94.0,-94.0,16.0,-94.0,CONNECTED,12.4,Verizon,downlink,,6626.421720000004,7059.146597319184,7060.610182036407,6949.9776,745.1480240000002,0.7068,708.0
2021-01-16 22:44:55,727.2160399999842,0.6929226666679315,720.7201259999815,0.6955000000008944,732.4585720000027,0.6974319999998961,4266.074685000005,4748.150960999751,-94.2,-94.0,-94.0,16.0,-94.2,CONNECTED,15.8,Verizon,downlink,,6665.368080000005,7147.444355999676,7147.100660000004,6870.911999999998,719.76912,0.688064,709.0
2021-01-16 22:44:56,742.1811919999842,0.7245706666679315,735.8186379999815,0.7144040000008944,740.6977760000027,0.7334559999998962,4293.952325000004,4755.608054999736,-96.2,-96.0,-96.0,14.0,-96.2,CONNECTED,13.9,Verizon,downlink,,6693.2457200000035,7154.9014499997265,7154.025859999987,6506.3936,761.626432,0.778848,731.0
2021-01-16 22:44:57,758.0584319999842,0.8039680000012649,754.8308299999816,0.7796760000008944,777.2030880000027,0.8619199999998962,4382.636615000005,4661.625230999735,-98.0,-98.0,-98.0,13.0,-98.0,CONNECTED,13.0,Verizon,downlink,,6781.930010000006,7060.918625999705,7061.766180000002,6866.8288,792.779744,0.944992,786.0
2021-01-16 22:44:58,781.0343999999842,0.9044480000012648,765.7180799999816,0.8503520000008945,790.7383840000027,0.9672479999998962,4467.721005000005,4854.888270999725,-98.0,-98.0,-98.0,16.0,-98.0,CONNECTED,13.3,Verizon,downlink,,6867.014400000006,7254.181665999716,7253.331579999988,7090.2912,788.697024,0.989504,751.0
2021-01-16 22:44:59,800.4776106666509,0.9503146666679315,790.7648159999816,0.9074480000008947,804.3265440000027,0.9529759999998961,4455.5456450000065,4885.3079149997275,-98.0,-98.0,-98.0,16.0,-98.0,CONNECTED,16.0,Verizon,downlink,,6854.839040000006,7284.601309999679,7284.95518,6863.1168,819.956064,0.916448,786.0
2021-01-16 22:45:00,792.703754666651,0.8645226666679315,792.7227519999816,0.8846400000008947,794.7071200000028,0.8020319999998962,4437.245485000007,4894.633958999701,-98.0,-98.0,-98.0,16.0,-98.0,CONNECTED,15.7,Verizon,downlink,,6836.538880000007,7293.927353999716,7295.072759999999,6929.1904,769.458176,0.687616,621.0
2021-01-16 22:45:01,648.1328959999843,0.6626453333345982,683.2739279999817,0.7443600000008948,562.2213120000027,0.5357439999998961,4428.0768450000105,4731.683866451967,-98.0,-98.0,-98.0,13.0,-98.0,CONNECTED,13.0,Verizon,downlink,,6827.370240000008,7130.977261451989,7129.614882976599,6443.2896,354.984448,0.383872,482.0
2021-01-16 22:45:02,600.710314666651,0.5506026666679316,655.5217519999817,0.6420640000008947,516.3363840000027,0.48209599999989605,4495.932205000008,4427.2993709997145,-98.2,-98.0,-98.0,13.0,-98.2,CONNECTED,12.5,Verizon,downlink,,6895.225600000009,6826.592765999717,6826.289019999997,7520.512,677.68832,0.58032,635.0
