time,active interface,handover type
0,4G,unknown
50,4G,4t4
76,4G,4t4
82,4G,4t4
86,4G,4t4
102,4G,4t4
120,4G,4t4
140,4G,4t4
166,4G,4t4
196,4G,4t4
222,4G,4t4
242,4G,4t4
256,4G,4t4
259,4G,4t4
266,4G,4t4
280,4G,4t4
285,4G,4t4
318,4G,4t4
362,4G,4t4
370,4G,4t4
382,4G,4t4
398,4G,4t4
411,4G,4t4
416,4G,4t4
418,4G,4t4
445,4G,4t4
468,4G,4t4
463,4G,4t4
520,4G,4t4
555,4G,4t4
566,4G,4t4
