time,active interface,handover type
0,4G,unknown
58,4G,4t4
66,4G,4t4
77,4G,4t4
86,4G,4t4
88,4G,4t4
95,4G,4t4
98,4G,4t4
105,4G,4t4
112,4G,4t4
125,4G,4t4
142,4G,4t4
165,4G,4t4
194,4G,4t4
206,4G,4t4
215,4G,4t4
220,4G,4t4
238,4G,4t4
254,4G,4t4
258,4G,4t4
262,4G,4t4
269,4G,4t4
274,4G,4t4
317,4G,4t4
354,4G,4t4
394,4G,4t4
402,4G,4t4
416,4G,4t4
419,4G,4t4
430,4G,4t4
432,4G,4t4
440,4G,4t4
462,4G,4t4
486,4G,4t4
502,4G,4t4
533,4G,4t4
548,4G,4t4
566,4G,4t4
574,4G,4t4
