time,active interface,handover type
0,SA 5G,unknown
28,SA 5G,5t5
65,SA 5G,5t5
158,SA 5G,5t5
216,SA 5G,5t5
244,SA 5G,5t5
291,SA 5G,5t5
322,SA 5G,5t5
329,SA 5G,5t5
348,SA 5G,5t5
374,SA 5G,5t5
380,SA 5G,5t5
431,SA 5G,5t5
581,SA 5G,5t5
