server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
north-central,19.9,71.53666666666666,tcp1d,60311,352,805.2949214681805,802.5558532155384,898.6621711601993,888.3559743684417,891.8747016480138,860.1328922243483
north-central,19.9,71.53666666666666,tcp1c,60313,352,1654.3155389706335,1700.3314442933658,1883.0415566828615,1871.094890763283,1879.1853538152945,1824.1385110436568
north-central,19.9,71.53666666666666,tcp1c,60314,352,1194.0632535487312,1219.2016007927914,1363.4361631531322,1330.1425676866686,1349.3211450028957,1257.1570466427775
south-central,93.2,133.82333333333335,tcp8,60301,1112,1742.9799764701822,1763.6809033396016,1917.425863327911,1902.8216566449794,1906.9769759272942,1800.9056970734214
south-central,93.2,133.82333333333335,tcp8,60302,1112,1785.7307235639032,1801.5140621826843,1923.9481022869786,1904.0008004651077,1915.5369477364443,1839.7757365333673
south-central,93.2,133.82333333333335,tcp1d,60303,1112,421.4485576918966,428.3662367870622,449.1677634971491,444.741417164901,445.4371123993083,438.6096205795021
south-central,93.2,133.82333333333335,tcp1d,60304,1112,374.973351191111,388.34622547811654,439.0745644124296,434.2716071813818,435.69694989358584,426.4731213168286
south-central,93.2,133.82333333333335,tcp1c,60305,1112,1117.8848043254225,1156.852154141584,1320.9863708659175,1306.2488027928905,1311.3527905759584,1288.107026564001
south-central,93.2,133.82333333333335,tcp1c,60307,1112,1058.5540630800338,1094.481964570664,1279.709723372293,1257.907766060721,1263.761351666377,1242.8332045541829
west-central,85.3,127.40333333333334,tcp8,60318,903,1759.8811862437099,1796.8932118582218,1929.4744532554275,1906.5330554188904,1923.9120231797992,1863.175620958332
west-central,85.3,127.40333333333334,tcp8,60320,903,1789.9922566202638,1818.375214666428,1926.4940684095527,1904.8255242846865,1910.1832173951939,1874.3472661004816
west-central,85.3,127.40333333333334,tcp1d,60321,903,396.22655478882047,407.5695364184067,440.3979673347032,434.1987812310892,434.2598877602177,428.7690124021408
west-central,85.3,127.40333333333334,tcp1d,60323,903,392.5969313398892,404.7795529598777,444.79725651788914,437.88628626498235,438.9147408953088,431.0639352372472
west-central,85.3,127.40333333333334,tcp1c,60324,903,1095.9474727311253,1137.6212727809304,1337.0623730471923,1325.0522620490663,1328.7844802739328,1258.1792447368534
west-central,85.3,127.40333333333334,tcp1c,60326,903,1008.6084618245216,1034.2215292611563,1351.5540926833578,1334.7281646046085,1340.5712539455908,1121.2742602007502
west,90.9,132.22000000000003,tcp8,60330,1583,1772.6330511414792,1802.8565341413482,1928.3768237255124,1909.8299545436187,1911.9722004730986,1869.7236114931068
west,90.9,132.22000000000003,tcp8,60331,1583,1655.5612534154627,1673.72346843671,1918.8988385714756,1891.0107562889339,1899.7720789391087,1785.8461121879718
west,90.9,132.22000000000003,tcp1d,60332,1583,257.90773245836795,264.75372232507095,334.6759507988761,327.61804568381075,331.1578480319375,272.0511222712401
west,90.9,132.22000000000003,tcp1d,60334,1583,290.92694842833055,294.9253063492708,339.00766668381846,335.8030618359109,337.7195466137806,285.68966485147166
west,90.9,132.22000000000003,tcp1c,60335,1583,780.8168689299466,782.0615369418358,972.5253531954622,965.4288718077407,966.7707739373777,930.3857407956125
west,90.9,132.22000000000003,tcp1c,60336,1583,859.7610150062729,884.9035208616547,991.4422334992308,987.9183704572207,988.6921599547533,968.0440106298186
west2,58.4,119.10999999999999,tcp8,60338,1278,1787.5898707550946,1813.7576698292219,1927.6862830674036,1912.3758909439473,1923.9741060669498,1872.4752201950178
west2,58.4,119.10999999999999,tcp8,60339,1278,1792.5743087950225,1818.6130557502977,1920.645271258545,1909.8944619566032,1914.21124945254,1848.6584376149267
west2,58.4,119.10999999999999,tcp1d,60341,1278,321.7899529276254,326.6589613921159,371.76114278809024,363.6538899150938,367.5181585697941,354.56606888493263
west2,58.4,119.10999999999999,tcp1d,60342,1278,181.64818665804333,192.29326413720412,351.0542410535302,348.9923762554772,350.5139332189274,210.4518605385694
west2,58.4,119.10999999999999,tcp1c,60343,1278,794.7617798300776,826.4657626475226,1019.2808123525923,1013.0331679821277,1015.9236521375544,994.9994746044632
