nr_ssRsrp,hardware_power_full,nrStatus,downlink_Mbps,LTE_RSRP,nr_ssSinr,hardware_power,software_power,Timestamp,uplink_Mbps
-76,7267.3128799999995,CONNECTED,1443.451973,-60,12,4946.3128799999995,7784.1566,197.422,0.896832
-76,6356.04172,CONNECTED,0.866915,-84,7,3861.199267,5568.3936,421.67199999999997,67.342385
-77,7479.097240000001,CONNECTED,909.1986949999999,-59,20,5140.09724,4772.9402,893.341,0.714224
-78,7200.56512,CONNECTED,1175.28863,-61,16,4861.56512,7181.3728,280.515,0.968616
-75,9682.027259999999,CONNECTED,2261.673727,-58,22,7343.02726,9250.9848,149.281,1.535395
-75,7256.7226200000005,CONNECTED,1.0759,-59,24,4917.7226200000005,7013.3232,147.233,100.1118
-77,10026.097759999999,CONNECTED,2905.500275,-55,18,7687.09776,9221.268,144.269,1.919029
-78,9808.72446,CONNECTED,2796.953487,-59,19,7469.724459999999,9067.6541,154.297,1.9613740000000002
-77,7859.09024,CONNECTED,1.119901,-61,24,5364.247786999999,6865.175,178.34900000000002,129.384624
-77,9540.61472,CONNECTED,2493.679285,-62,16,7201.6147200000005,9258.4424,158.30100000000002,1.65935
-78,7427.863420000001,CONNECTED,1.141852,-60,20,5088.863420000001,7554.8379,151.24,127.589809
-76,9928.67958,CONNECTED,3073.5469190000003,-61,17,7589.67958,9105.3806,164.31400000000002,1.883806
-77,9425.47696,CONNECTED,2335.317227,-65,15,7104.476959999999,8614.0336,154.339,1.391294
-78,6560.22756,CONNECTED,0.787904,-85,9,4221.22756,6246.34,404.523,64.764905
-76,9356.15016,CONNECTED,2104.4234530000003,-72,18,7017.150159999999,9075.363000000001,898.387,1.243941
-77,9793.8263,CONNECTED,2633.78302,-64,21,7454.8263,9137.5683,895.3430000000001,1.791296
-78,8012.30488,CONNECTED,1553.793025,-71,12,5691.30488,7427.343000000001,253.498,1.207907
-76,8110.19962,CONNECTED,1.0027409999999999,-70,19,5679.5961640000005,7337.1324,791.222,84.706819
-77,8535.8719,CONNECTED,1873.2852149999999,-60,21,6214.8719,8430.091999999999,192.447,1.0926559999999998
-75,9770.4044,CONNECTED,2725.811787,-65,18,7449.4044,9392.7998,156.342,1.410871
-73,7914.7271200000005,CONNECTED,0.9311370000000001,-63,21,5419.884667,7265.7286,199.373,93.205963
-78,8420.57366,CONNECTED,1742.676961,-71,17,6099.57366,8042.265,252.498,1.252576
-75,9699.3349,CONNECTED,2842.950212,-61,14,7360.3349,9408.9891,170.325,1.6725880000000002
-78,7326.61322,CONNECTED,1.055713,-67,22,4987.61322,7256.626,159.251,134.866408
-78,7959.059520000001,CONNECTED,1.216536,-62,20,5464.2170670000005,6819.1,194.362,147.37623200000002
-75,9362.58904,CONNECTED,2611.575086,-57,21,7041.589040000001,9058.9664,189.44,1.4339110000000002
-77,7971.27406,CONNECTED,1574.2061800000001,-67,17,5650.27406,7409.9025,201.463,0.9498559999999999
-78,7896.585059999999,CONNECTED,1.589963,-59,22,5465.981604,6793.6354,186.394,187.964648
-76,7243.55466,CONNECTED,1816.2659579999997,-72,20,4904.55466,8560.629,893.3789999999999,1.418393
-78,9842.23678,CONNECTED,2701.389434,-62,20,7503.236779999999,9277.0776,151.291,1.805304
-77,8698.68818,CONNECTED,1913.803932,-63,14,6359.68818,8110.8382,157.30100000000002,1.385024
-78,9155.20652,CONNECTED,2336.3747510000003,-63,14,6834.206520000001,8738.2365,182.39,1.408164
-75,9918.6719,CONNECTED,3094.562201,-60,12,7579.6719,9025.2567,175.333,1.768389
-76,8026.03346,CONNECTED,0.9841409999999999,-57,21,5531.191007,6891.7142,174.345,110.03625600000001
-76,8008.6331,CONNECTED,1794.745299,-65,23,5669.6331,7115.2179,163.313,1.1482709999999998
-77,7909.343040000001,CONNECTED,1.523929,-62,22,5478.739584,6609.4326,183.39,179.188822
-75,7437.625940000001,CONNECTED,1.0251350000000001,-55,18,5098.62594,7065.7602,148.237,103.490889
-77,7819.13418,CONNECTED,1114.469686,-66,18,5498.13418,7385.8171,284.538,0.831399
-77,7791.470020000001,CONNECTED,1557.6749550000002,-59,18,5470.470020000001,6290.8318,193.447,0.9463590000000001
-75,6364.2295,CONNECTED,0.579596,-85,5,3880.187613,5401.351,446.665,44.292629
-74,8108.2386,CONNECTED,0.9794370000000001,-71,20,5677.635144,7515.3,789.22,85.749222
-76,9346.58438,CONNECTED,2028.399056,-71,20,7007.584379999999,9123.279,894.38,1.634376
-73,7053.043659999999,CONNECTED,0.9817790000000001,-86,11,4569.001773,6435.951,442.66,63.606838
-71,7818.629359999999,CONNECTED,1.148576,-61,23,5323.786907,7097.393,190.36,130.355817
-75,6801.70706,CONNECTED,0.9093760000000001,-85,9,4317.665172999999,6074.2105,443.662,66.330209
-78,8573.591120000001,CONNECTED,1772.833157,-61,13,6234.59112,8690.2564,281.51599999999996,1.3104
-78,7380.48308,CONNECTED,1.412403,-63,22,5041.48308,7348.3803,166.25,130.814327
-76,8262.726279999999,CONNECTED,0.901122,-71,20,5832.122824,7079.4126,790.221,74.10251600000001
-75,6704.56578,CONNECTED,0.916098,-85,12,4220.523893,5896.1115,444.662,68.600175
-76,6485.92534,CONNECTED,0.8656379999999999,-85,8,3991.0828869999996,6127.5984,422.673,67.591188
-78,9224.767820000001,CONNECTED,2319.267701,-61,16,6903.76782,8800.8036,180.437,1.390952
-76,9154.32214,CONNECTED,2198.210291,-65,16,6833.32214,8816.9697,195.451,1.429613
-75,9267.86686,CONNECTED,2407.120081,-71,20,6928.866859999999,9382.461,896.3839999999999,1.278368
-75,6574.105860000001,CONNECTED,0.804647,-85,10,4090.063973,5542.8695,445.664,66.95197399999999
-71,8093.794059999999,CONNECTED,0.9876389999999999,-61,19,5598.951607,7318.9216,189.36,107.58108999999999
-78,7811.628479999999,CONNECTED,1375.534934,-63,20,5490.628479999999,7273.3602,188.40400000000002,0.880415
-76,6898.58026,CONNECTED,0.98606,-94,9,4403.737807,6490.1759999999995,423.675,71.143488
-73,8019.13016,CONNECTED,1.516089,-62,25,5588.526704,7222.8240000000005,182.387,170.115104
-78,6600.4592,CONNECTED,0.8802639999999999,-85,9,4261.4592,6496.09,403.522,68.655838
-76,8026.49656,CONNECTED,1.192256,-62,21,5531.654107,6738.3766,193.362,142.80150700000002
-75,9730.9106,CONNECTED,2570.953382,-64,19,7409.9106,9169.3088,158.346,1.518616
-78,9504.56092,CONNECTED,1220.9828710000002,-74,21,7165.56092,7814.0088,934.49,0.927171
-78,8153.642540000001,CONNECTED,1.466944,-58,23,5669.600653,6812.3916,231.44099999999997,155.111345
-78,7986.78392,CONNECTED,1381.591382,-67,23,5665.78392,6726.9675,773.28,0.887647
-74,7801.820320000001,CONNECTED,1.0498239999999999,-57,20,5306.9778670000005,6788.1376,187.356,115.106319
-78,6496.9026,CONNECTED,0.9789709999999999,-74,1,4157.9026,6392.3892,518.7230000000001,60.66516899999999
-77,7578.24388,CONNECTED,1.082848,-56,22,5246.51258,7261.2462,881.201,108.11674
-76,9667.99154,CONNECTED,1059.789555,-72,19,7328.991540000001,7337.682,892.378,0.92314
-75,6558.42896,CONNECTED,0.642135,-82,9,4219.42896,5780.5674,411.579,46.478155
-78,10010.46434,CONNECTED,2996.310337,-56,20,7671.46434,9798.9336,140.264,1.9620240000000002
-75,8061.97818,CONNECTED,1344.520319,-63,18,5722.97818,7304.569,156.3,1.501359
-78,10056.5978,CONNECTED,2598.299759,-62,17,7717.5978,9332.8175,172.326,1.559525
-76,7755.87738,CONNECTED,1.127907,-61,22,5261.034927000001,6868.1238,192.362,122.635962
-78,8794.63892,CONNECTED,1325.238467,-61,16,6455.63892,7833.8179,166.31900000000002,0.866858
-78,8910.99734,CONNECTED,1830.816956,-61,18,6589.99734,8369.526,181.438,1.221488
-77,9835.25468,CONNECTED,2826.553284,-57,20,7496.25468,9640.9272,133.249,1.825655
-74,7579.07282,CONNECTED,1.0779530000000002,-59,20,5084.230367,6896.8746,186.355,116.90696100000001
-77,9347.35168,CONNECTED,2653.153332,-60,23,7026.35168,8917.8936,191.445,1.535765
