Index,Timestamp,Provider,Network Type,Direction,Iperf start time (s),Started walking after (s),Iperf duration (s),Iperf run number,TCP/UDP?,Server,server iperf logs collected?,time elapsed,trajectory,Device,Successful?,Month,Comments,Notes
39,2021-01-23 11:29:28.000 CST,TMobile,SA only,downlink,45,75,1320,20062,8 tcp,UMN2,,890,clockwise,S20UPM,no,jan,"Data slowed down (went over 50GB per month) shortly before Iperf stopped, iperf stopped a couple of minutes before the end",
40,2021-01-23 12:16:41.453 CST,TMobile,NSA+LTE,downlink,45,75,1320,20065,8 tcp,UMN2,,1020,clockwise,S20UPM,yes,jan,,
41,2021-01-23 12:39:32.223 CST,TMobile,NSA+LTE,downlink,45,75,1320,20066,8 tcp,UMN2,,1060,clockwise,S20UPM,yes,jan,,
42,2021-01-23 13:03:09.426 CST,TMobile,NSA+LTE,downlink,45,75,1320,20067,8 tcp,UMN2,,1015,clockwise,S20UPM,yes,jan,,
43,2021-01-23 13:25:47.390 CST,TMobile,NSA+LTE,downlink,45,75,1320,20068,8 tcp,UMN2,,985,clockwise,S20UPM,yes,jan,,
44,2021-01-23 13:54:46.206 CST,TMobile,NSA+LTE,downlink,45,75,1320,20069,8 tcp,UMN2,,1015,clockwise,S20UPM,yes,jan,"Data went over 50GB after 255s of ipers, still looks good",
45,2021-01-24 11:52:08.294 CST,TMobile,SA only,uplink,45,75,1320,20070,8 tcp,UMN2,,1090,clockwise,S20UPM,yes,jan,Data usage over 50GB,
46,2021-01-24 12:18:02.087 CST,TMobile,SA only,uplink,45,75,1320,20073,8 tcp,UMN2,,1060,clockwise,S20UPM,yes,jan,Data usage over 50GB,
47,2021-01-24 12:40:47.044 CST,TMobile,SA only,uplink,45,75,1320,20074,8 tcp,UMN2,,1085,clockwise,S20UPM,yes,jan,Data usage over 50GB,
48,2021-01-24 13:07:03.732 CST,TMobile,NSA+LTE,uplink,45,75,1320,20075,8 tcp,UMN2,,1085,clockwise,S20UPM,yes,jan,Data usage over 50GB,
49,2021-01-24 13:32:26.266 CST,TMobile,NSA+LTE,uplink,45,75,1320,20076,8 tcp,UMN2,,1045,clockwise,S20UPM,yes,jan,Data usage over 50GB,
50,2021-01-24 13:55:12.458 CST,TMobile,NSA+LTE,uplink,45,75,1320,20077,8 tcp,UMN2,,1010,clockwise,S20UPM,yes,jan,"Data usage over 50GB, went over 100GB in the middle",
51,2021-01-24 16:52:36.025 CST,TMobile,SA only,uplink,45,75,1320,20078,8 tcp,UMN2,,1142,clockwise,S20UPM,yes,jan,Data usage over 100GB,
52,2021-01-24 17:16:06.652 CST,TMobile,SA only,uplink,45,75,1320,20079,8 tcp,UMN2,,1050,clockwise,S20UPM,yes,jan,Data usage over 100GB,
53,2021-01-24 18:00:21.322 CST,TMobile,NSA+LTE,uplink,45,75,1320,20085,8 tcp,UMN2,,1120,clockwise,S20UPM,yes,jan,Data usage over 100GB,
54,2021-01-24 18:25:12.072 CST,TMobile,NSA+LTE,uplink,45,75,1320,20086,8 tcp,UMN2,,1080,clockwise,S20UPM,yes,jan,Data usage over 100GB,
55,2021-01-25 19:04:52.426 CST,TMobile,SA only,downlink,45,75,1320,20090,8 tcp,UMN2,,1065,clockwise,S20UPM,yes,jan,Data usage over 100GB,
56,2021-01-25 19:27:05.409 CST,TMobile,SA only,downlink,45,75,1320,20091,8 tcp,UMN2,,1065,clockwise,S20UPM,yes,jan,Data usage over 100GB,
57,2021-01-25 19:56:39.154 CST,TMobile,NSA+LTE,downlink,45,75,1320,20092,8 tcp,UMN2,,1035,clockwise,S20UPM,yes,jan,Data usage over 100GB,
58,2021-01-07 18:41:39.496 CDT,Verizon,N/A,downlink,30,30,1300,15652,8 tcp,UMN,,1230,clockwise,ELDERBERRY_374,yes,dec,,
59,2021-01-07 19:11:06.152 CDT,Verizon,N/A,uplink,30,30,1300,15656,8 tcp,UMN,,1150,clockwise,ELDERBERRY_374,yes,dec,,
60,2021-01-07 19:34:53.207 CDT,Verizon,N/A,uplink,45,45,1300,15657,8 tcp,UMN,,1130,clockwise,ELDERBERRY_374,yes,dec,,
61,2021-01-16 20:41:37.712 CDT,TMobile,NSA+LTE,downlink,45,45,1300,78402,udp,UMN,,1300,clockwise,CUCUMBER_454,no,dec,Iperf control channel closed,
62,2021-01-16 21:33:11.818 CDT,TMobile,NSA+LTE,downlink,30,30,1300,78408,udp,UMN,,1300,clockwise,CUCUMBER_454,no,dec,Iperf control channel closed,
