timestamp,activeInterfaceName1,activeInterfaceName2,activeInterfaceName3,linkUpKbps,linkDownKbps,interfaceNameMobile1,interfaceNameMobile2,abstractSignalStr,mobileDataActivity,mobileDataState,mobileRx,mobileTx,mobileRxPackets,mobileTxPackets,mobileRxUid,mobileTxUid,mobileRxPacketsUid,mobileTxPacketsUid,mobileRx_diff_Mbps,mobileTx_diff_Mbps,locationProvider,latitude,longitude,locationAccuracy,movingSpeed,movingSpeedAccuracyMPS,compassDirection,compassAccuracy,activity0,activity1,activity2,activity3,activity4,activity5,activity6,activity7,activity8,activity9,mostProbableActivityType,mobilityLabel,mobilityLabelv2,nrStatus,nr_ssRsrp,nr_ssRsrq,nr_ssSinr,nr_level,handoffType,horizontalHandoff,verticalHandoff,accessNetworkTechnology,mCid,mAlphaLong,mAlphaShort,cpuTemperature,batteryTemperature,currentNow,voltageNow,cpuUsage,appCpuUsage,coreCpuUsage,availHeapSizeInMB,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:43.847 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572640,10717961,164545018,117098,179066377051,1155062,127455961,19461,1960036,85,fused,44.9860944,-93.2383856,3.79,0.0019194259,0.086023256,58.59261,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-83,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,233,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:44.848 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572640,10717961,164545018,117098,179066377051,1155062,127455961,19461,1960036,85,fused,44.9860944,-93.2383856,3.79,0.0019194259,0.086023256,58.59261,0,null,null,null,null,null,null,null,null,null,null,null,101,0,NOT_RESTRICTED,,,,,1,0,1,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,231,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:45.849 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572640,10717961,164545018,117098,179066377051,1155062,127455961,19461,0,0,fused,44.9860944,-93.2383856,3.79,0.00013810299,0.086023256,117.99902,0,null,null,null,null,null,null,null,null,null,null,null,101,0,NOT_RESTRICTED,,,,,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,230,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:46.850 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572640,10718021,164545018,117099,179066377051,1155122,127455961,19462,0,0,fused,44.9860944,-93.2383856,3.79,0.00013810299,0.086023256,117.99902,0,null,null,null,null,null,null,null,null,null,null,null,101,0,NOT_RESTRICTED,,,,,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,229,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:47.851 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572700,10718251,164545019,117102,179066377111,1155352,127455962,19465,0,0,fused,44.9860944,-93.2383855,3.79,0.002491229,0.086023256,92.41159,0,null,null,null,null,null,null,null,null,null,null,null,101,0,NOT_RESTRICTED,,,,,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,228,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:48.851 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572753,10718448,164545020,117105,179066377164,1155549,127455963,19468,0,0,fused,44.9860944,-93.2383855,3.79,0.002491229,0.086023256,92.41159,0,null,null,null,null,null,null,null,null,null,null,null,101,0,NOT_RESTRICTED,,,,,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,226,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:49.851 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572753,10718677,164545020,117106,179066377164,1155778,127455963,19469,0,0,fused,44.9860944,-93.2383854,5.595,0.0037957968,0.086023256,90.578514,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-97,-11,2147483647,1 parametersUseForLevel = 0,2,0,1,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,225,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:50.851 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572805,10718770,164545021,117108,179066377216,1155831,127455964,19470,0,0,fused,44.9860944,-93.2383854,5.595,0.0037957968,0.086023256,90.578514,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-97,-11,2147483647,1 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,224,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:51.852 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572805,10718770,164545021,117108,179066377216,1155831,127455964,19470,0,0,fused,44.9860944,-93.2383853,5.595,0.0040641427,0.086023256,90.06316,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-87,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,220,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:52.854 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572805,10718770,164545021,117108,179066377216,1155831,127455964,19470,0,0,fused,44.9860944,-93.2383853,5.595,0.0040641427,0.086023256,90.06316,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-87,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,220,,,,,,,,,,,,,,,,,,,
2021-01-25 06:17:53.854 CDT,185,LTE,rmnet_data2,15000,30000,-1,-1,4,-1,-1,245004572805,10718770,164545021,117108,179066377216,1155831,127455964,19470,0,0,fused,44.9860944,-93.2383853,3.79,0.0013644949,0.086023256,89.911026,0,null,null,null,null,null,null,null,null,null,null,null,101,0,CONNECTED,-87,-11,2147483647,2 parametersUseForLevel = 0,0,0,0,IWLAN,49128716,null,null,51,34.8,0,0,0,0,,219,,,,,,,,,,,,,,,,,,,
