enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
4G-LTE,T-Mobile,0,52,51,4,YEP
4G-LTE,T-Mobile,0.1,80,80,4,YEP
4G-LTE,T-Mobile,0.2,120,119,4,YEP
4G-LTE,T-Mobile,0.3,110,110,4,YEP
4G-LTE,T-Mobile,0.4,160,160,4,YEP
4G-LTE,T-Mobile,0.5,150,150,4,YEP
4G-LTE,T-Mobile,0.6,350,350,4,YEP
4G-LTE,T-Mobile,0.7,251,252,4,YEP
4G-LTE,T-Mobile,0.8,88,88,4,YEP
4G-LTE,T-Mobile,0.9,130,130,4,YEP
4G-LTE,T-Mobile,1,270,269,4,YEP
4G-LTE,T-Mobile,1.1,190,189,4,YEP
4G-LTE,T-Mobile,1.2,90,90,4,YEP
4G-LTE,T-Mobile,1.3,300,300,4,YEP
4G-LTE,T-Mobile,1.4,200,199,4,YEP
4G-LTE,T-Mobile,1.5,90,90,4,YEP
4G-LTE,T-Mobile,1.6,338,337,4,YEP
4G-LTE,T-Mobile,1.7,212,212,4,YEP
4G-LTE,T-Mobile,1.8,110,109,4,YEP
4G-LTE,T-Mobile,1.9,348,347,4,YEP
4G-LTE,T-Mobile,2,242,242,4,YEP
4G-LTE,T-Mobile,2.1,130,129,4,YEP
4G-LTE,T-Mobile,2.2,370,369,4,YEP
4G-LTE,T-Mobile,2.3,260,259,4,YEP
4G-LTE,T-Mobile,2.4,150,149,4,YEP
4G-LTE,T-Mobile,2.5,390,389,4,YEP
4G-LTE,T-Mobile,2.6,280,279,4,YEP
4G-LTE,T-Mobile,2.7,170,169,4,YEP
4G-LTE,T-Mobile,2.8,76,76,4,YEP
4G-LTE,T-Mobile,2.9,313,313,4,YEP
4G-LTE,T-Mobile,3,190,190,4,YEP
4G-LTE,T-Mobile,3.1,100,99,4,YEP
4G-LTE,T-Mobile,3.2,330,329,4,YEP
4G-LTE,T-Mobile,3.3,220,219,4,YEP
4G-LTE,T-Mobile,3.4,110,109,4,YEP
4G-LTE,T-Mobile,3.5,60,60,4,BAD
4G-LTE,T-Mobile,3.6,209,209,4,BAD
4G-LTE,T-Mobile,3.7,130,129,4,BAD
4G-LTE,T-Mobile,3.8,370,370,4,BAD
4G-LTE,T-Mobile,3.9,264,263,4,YEP
4G-LTE,T-Mobile,4,156,156,4,YEP
4G-LTE,T-Mobile,4.1,380,379,4,BAD
4G-LTE,T-Mobile,4.2,270,269,4,YEP
4G-LTE,T-Mobile,4.3,190,189,4,YEP
4G-LTE,T-Mobile,4.4,400,399,4,YEP
4G-LTE,T-Mobile,4.5,292,292,4,BAD
4G-LTE,T-Mobile,4.6,197,197,4,BAD
4G-LTE,T-Mobile,4.7,110,109,4,YEP
4G-LTE,T-Mobile,4.8,90,89,4,YEP
4G-LTE,T-Mobile,4.9,130,129,4,YEP
4G-LTE,T-Mobile,5,678,677,4,YEP
4G-LTE,T-Mobile,5.1,1284,1283,4,YEP
4G-LTE,T-Mobile,5.2,1213,1212,4,YEP
4G-LTE,T-Mobile,5.3,266,266,4,BAD
4G-LTE,T-Mobile,5.4,364,363,4,BAD
4G-LTE,T-Mobile,5.5,1103,1103,4,BAD
4G-LTE,T-Mobile,5.6,810,810,4,YEP
4G-LTE,T-Mobile,5.7,688,688,4,YEP
4G-LTE,T-Mobile,5.8,593,593,4,YEP
4G-LTE,T-Mobile,5.9,491,491,4,YEP
4G-LTE,T-Mobile,6,413,413,4,YEP
4G-LTE,T-Mobile,6.1,1588,1589,4,YEP
4G-LTE,T-Mobile,6.2,1459,1459,4,YEP
4G-LTE,T-Mobile,6.3,1389,1389,4,YEP
4G-LTE,T-Mobile,6.4,1283,1283,4,YEP
4G-LTE,T-Mobile,6.5,1177,1177,4,YEP
4G-LTE,T-Mobile,6.6,1085,1085,4,YEP
4G-LTE,T-Mobile,6.7,981,980,4,YEP
4G-LTE,T-Mobile,6.8,889,888,4,YEP
4G-LTE,T-Mobile,6.9,768,768,4,YEP
4G-LTE,T-Mobile,7,686,686,4,YEP
4G-LTE,T-Mobile,7.1,580,579,4,YEP
4G-LTE,T-Mobile,7.2,479,479,4,YEP
4G-LTE,T-Mobile,7.3,382,382,4,YEP
4G-LTE,T-Mobile,7.4,1554,1554,4,YEP
4G-LTE,T-Mobile,7.5,1468,1468,4,YEP
4G-LTE,T-Mobile,7.6,1361,1361,4,YEP
4G-LTE,T-Mobile,7.7,1258,1259,4,YEP
4G-LTE,T-Mobile,7.8,1152,1152,4,YEP
4G-LTE,T-Mobile,7.9,1331,1332,4,OUT
4G-LTE,T-Mobile,8,940,940,4,YEP
4G-LTE,T-Mobile,8.1,875,875,4,YEP
4G-LTE,T-Mobile,8.2,725,725,4,YEP
4G-LTE,T-Mobile,8.3,685,685,4,YEP
4G-LTE,T-Mobile,8.4,545,545,4,YEP
4G-LTE,T-Mobile,8.5,490,490,4,YEP
4G-LTE,T-Mobile,8.6,380,380,4,YEP
4G-LTE,T-Mobile,8.7,1490,1490,4,YEP
4G-LTE,T-Mobile,8.8,1500,1500,4,YEP
4G-LTE,T-Mobile,8.9,1325,1325,4,YEP
4G-LTE,T-Mobile,9,1205,1205,4,YEP
4G-LTE,T-Mobile,9.1,1170,1170,4,YEP
4G-LTE,T-Mobile,9.2,1005,1005,4,YEP
4G-LTE,T-Mobile,9.3,935,935,4,YEP
4G-LTE,T-Mobile,9.4,855,855,4,YEP
4G-LTE,T-Mobile,9.5,735,735,4,YEP
4G-LTE,T-Mobile,9.6,695,695,4,YEP
