start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location,jitter_ms,lost_packets,packets,lost_percent,sender
21.000185000000002,22.002758,1.002573013305664,237210208,1892811434.9926507,,False,21,tcp8,,,1892.8114349926507,TCP,downlink,1890.0106959132354,20.997774,60262,jan,east,,,,,False
27.00027,28.002245000000002,1.0019750595092771,235628896,1881315458.0146976,,False,27,tcp8,,,1881.3154580146972,TCP,downlink,1889.82516916415,26.997260999999998,60262,jan,east,,,,,False
26.001239,27.00027,0.9990310072898864,235969536,1889587284.3036132,,False,26,tcp8,,,1889.5872843036134,TCP,downlink,1889.7094711967875,25.995286,60262,jan,east,,,,,False
25.002010000000002,26.001239,0.9992290139198304,237138624,1898572765.1741388,,False,25,tcp8,,,1898.5727651741386,TCP,downlink,1891.013168937904,24.996254999999998,60262,jan,east,,,,,False
24.001433,25.002010000000002,1.0005769729614258,235256704,1880968364.1126094,,False,24,tcp8,,,1880.9683641126096,TCP,downlink,1890.2622582894867,23.997026,60262,jan,east,,,,,False
23.000291,24.001433,1.0011420249938965,236957600,1893498377.5269613,,False,23,tcp8,,,1893.4983775269613,TCP,downlink,1894.209948582834,22.996449,60262,jan,east,,,,,False
22.002758,23.000291,0.9975330233573914,236455232,1896320033.2288864,,False,22,tcp8,,,1896.3200332288864,TCP,downlink,1889.5339555782066,21.995307,60262,jan,east,,,,,False
0.0,1.004984,1.0049840211868286,32159200,255997702.0293065,,False,0,tcp8,,,255.99770202930648,TCP,downlink,255.99770202930648,0.0,60262,jan,east,,,,,False
1.004984,2.0005759999999997,0.9955919981002808,188813312,1517194291.3183744,,False,1,tcp8,,,1517.1942913183746,TCP,downlink,886.5959966738404,0.995592,60262,jan,east,,,,,False
2.0005759999999997,3.001815,1.0012389421463013,237118432,1894600156.0163226,,False,2,tcp8,,,1894.6001560163227,TCP,downlink,1222.5973831213346,1.996831,60262,jan,east,,,,,False
3.001815,4.000344999999999,0.9985299706459044,236238912,1892693611.1667237,,False,3,tcp8,,,1892.693611166724,TCP,downlink,1768.1626861671402,2.9953610000000004,60262,jan,east,,,,,False
4.000344999999999,5.000629,1.00028395652771,218751840,1749517932.9625895,,False,4,tcp8,,,1749.5179329625896,TCP,downlink,1845.6039000485453,3.9956449999999997,60262,jan,east,,,,,False
5.000629,6.0009809999999995,1.0003520250320437,200650944,1604642677.609996,,False,5,tcp8,,,1604.642677609996,TCP,downlink,1748.9514072464365,4.995997,60262,jan,east,,,,,False
6.0009809999999995,7.001053,1.000072002410889,238505152,1907903842.3236086,,False,6,tcp8,,,1907.9038423236086,TCP,downlink,1754.0214842987314,5.996069,60262,jan,east,,,,,False
7.001053,8.000859,0.999805986881256,236682656,1893828675.607721,,False,7,tcp8,,,1893.8286756077212,TCP,downlink,1802.1250651804419,6.995875000000002,60262,jan,east,,,,,False
8.000859,9.002363,1.0015039443969729,233358880,1864067585.9984593,,False,8,tcp8,,,1864.0675859984594,TCP,downlink,1888.6000346432631,7.997379,60262,jan,east,,,,,False
9.002363,10.003917999999999,1.0015549659729004,234557856,1873549542.2133152,,False,9,tcp8,,,1873.5495422133151,TCP,downlink,1877.1486012731652,8.998934,60262,jan,east,,,,,False
10.003917999999999,11.002676,0.9987580180168152,235353600,1885170147.3582566,,False,10,tcp8,,,1885.1701473582568,TCP,downlink,1874.2624251900104,9.997692,60262,jan,east,,,,,False
11.002676,12.0021,0.9994239807128906,232708576,1862741583.078754,,False,11,tcp8,,,1862.741583078754,TCP,downlink,1873.820424216776,10.997116,60262,jan,east,,,,,False
12.0021,13.001519,0.9994189739227296,232049600,1857476042.018318,,False,12,tcp8,,,1857.476042018318,TCP,downlink,1868.4625908184432,11.996535000000002,60262,jan,east,,,,,False
13.001519,14.001,0.9994810223579408,233785024,1871251329.6027374,,False,13,tcp8,,,1871.2513296027373,TCP,downlink,1863.8229848999365,12.996016,60262,jan,east,,,,,False
14.001,15.001779999999998,1.0007799863815308,235953760,1886158901.743237,,False,14,tcp8,,,1886.1589017432373,TCP,downlink,1871.6287577880976,13.996796000000002,60262,jan,east,,,,,False
15.001779999999998,16.001309,0.9995290040969848,235151360,1882097340.13628,,False,15,tcp8,,,1882.0973401362799,TCP,downlink,1879.8358571607516,14.996325,60262,jan,east,,,,,False
16.001309,17.001012,0.9997029900550842,236787328,1894861416.6849926,,False,16,tcp8,,,1894.8614166849923,TCP,downlink,1887.7058861881696,15.996027999999999,60262,jan,east,,,,,False
17.001012,18.00333,1.002318024635315,237324288,1894203493.6374488,,False,17,tcp8,,,1894.2034936374491,TCP,downlink,1890.387416819574,16.998345999999998,60262,jan,east,,,,,False
18.00333,19.003915,1.0005849599838257,221992384,1774900826.0415065,,False,18,tcp8,,,1774.9008260415064,TCP,downlink,1854.6552454546493,17.998931000000006,60262,jan,east,,,,,False
28.002245000000002,29.001162,0.9989169836044312,233754912,1872066775.0109363,,False,28,tcp8,,,1872.0667750109367,TCP,downlink,1880.9898391097495,27.996178000000004,60262,jan,east,,,,,False
29.001162,30.000429999999998,0.9992679953575134,233905024,1872610951.9103696,,False,29,tcp8,,,1872.6109519103693,TCP,downlink,1875.3310616453355,28.995446,60262,jan,east,,,,,False
20.000712,21.000185000000002,0.999472975730896,234809984,1879470398.513079,,False,20,tcp8,,,1879.4703985130786,TCP,downlink,1850.7071595961872,19.995201,60262,jan,east,,,,,False
