pageRef,startedDateTime,requestMethod,requestUrl,requestHttpVersion,requestHeaderSize,responseStatus,responseContentSize,responseCacheControl,time,blocked,dns,connect,send,wait,receive,ssl
page_1,2020-12-24T13:34:43.047Z,GET,https://www.23andme.com/_next/static/images/kit-with-bow-shadow-750-bd17b65371630c49b3ee5d6ec6b0f500.png,h2,-1,200,58725,image/png,58725,"public, max-age=31536000",197.4690000024566,148.25300000151714,-1,-1,0.2370000000000001,46.874,2.10499999957392,-1
page_1,2020-12-24T13:34:43.050Z,GET,https://www.23andme.com/_next/static/images/kit-plain-1122-750fa2130cc6d9f6b82ea4cccbcee11a.png,h2,-1,200,123886,image/png,123886,"public, max-age=31536000",300.12400000123307,200.80099999936087,-1,-1,0.7640000000000002,75.307,23.252000002685236,-1
page_1,2020-12-24T13:34:43.052Z,GET,https://www.23andme.com/_next/static/images/phone-396-44ffece5a439756e653e774fa043d705.png,h2,-1,200,29822,image/png,29822,"public, max-age=31536000",241.1339999998745,198.89100000123446,-1,-1,0.28400000000000003,41.27,0.6890000004204921,-1
page_1,2020-12-24T13:34:43.053Z,GET,https://www.23andme.com/_next/static/images/kit-shadow-at-568-74da1f4d6a0e31e2dbfd454fdcb9c2c4.png,h2,-1,200,30412,image/png,30412,"public, max-age=31536000",288.54100000171456,232.90399999861674,-1,-1,0.5339999999999999,51.235,3.868000003421912,-1
page_1,2020-12-24T13:34:43.053Z,GET,https://www.23andme.com/_next/static/images/kit-shadow-ha-568-15b730b88e4aa4b54e4cd952ca31892f.png,h2,-1,200,30457,image/png,30457,"public, max-age=31536000",282.23699999944074,233.21199999783445,-1,-1,0.16299999999999992,45.945,2.917000001616543,-1
page_1,2020-12-24T13:34:43.065Z,GET,https://www.23andme.com/_next/static/images/en-us_32x32-32-52edc191c99b78b2131ee087d6eedb79.png,h2,-1,200,159,image/png,159,"public, max-age=31536000",278.86600000056205,221.8350000021872,-1,-1,0.15000000000000002,54.897,1.9839999986288603,-1
page_1,2020-12-24T13:34:43.067Z,GET,https://www.23andme.com/_next/static/VMrNZjwmFoS6jDXlTAgCr/_buildManifest.js,h2,-1,200,2496,application/javascript,"public, max-age=31536000",281.1340000007476,221.5730000005446,-1,-1,0.236,57.260999999999996,2.064000000245869,-1
page_1,2020-12-24T13:34:43.075Z,GET,https://www.23andme.com/_next/static/VMrNZjwmFoS6jDXlTAgCr/_ssgManifest.js,h2,-1,200,76,application/javascript,"public, max-age=31536000",261.6589999997814,214.42899999908263,-1,-1,0.29699999999999993,45.692,1.2410000017553102,-1
page_1,2020-12-24T13:34:43.257Z,GET,https://cdn.optimizely.com/public/27075387/15141160728/7000_5cb3865bc3e03ab6da39a7bacb1ed7fd0d1e16b9b6ea6fef5c3b65c4d520bd68_edge_helper.js,h2,-1,200,494882,text/javascript; charset=utf-8,114792,"public, max-age=315360000, immutable",267.12599999882514,33.992999998169715,24.282,99.765,1.649000000000001,31.305000000000007,76.1320000019623,62.145999999999994
page_1,2020-12-24T13:34:43.270Z,GET,https://www.googletagmanager.com/gtm.js?id=GTM-KWSG3N,h2,-1,200,267060,application/javascript; charset=UTF-8,67140,"private, max-age=900",245.2400000001944,33.56200000000885,16.301,95.261,2.0859999999999985,42.74799999999999,55.28200000117067,61.09199999999999
page_1,2020-12-24T13:34:43.271Z,GET,https://cdn.heapanalytics.com/js/heap-244557998.js,h2,-1,200,106527,application/javascript; charset=utf-8,"public, max-age=120",223.50400000141235,33.59400000148359,13.783000000000001,52.691,1.7319999999999993,102.05000000000001,19.653999999718508,32.018
