radio_type,carrier,interval,timestamp,RTT1,RTT2,Network,KeepOrDrop
4G-LTE,TMobile,8.98,1609096280238,290,289,4,YEP
4G-LTE,TMobile,8.99,1609096289518,290,289,4,YEP
4G-LTE,TMobile,9,1609096298807,280,280,4,YEP
4G-LTE,TMobile,9.01,1609096308098,270,269,4,YEP
4G-LTE,TMobile,9.02,1609096317388,260,259,4,YEP
4G-LTE,TMobile,9.03,1609096326678,250,249,4,YEP
4G-LTE,TMobile,9.04,1609096335968,250,249,4,YEP
4G-LTE,TMobile,9.05,1609096345267,150,150,4,YEP
4G-LTE,TMobile,9.06,1609096354478,290,289,4,YEP
4G-LTE,TMobile,9.07,1609096363838,220,219,4,YEP
4G-LTE,TMobile,9.08,1609096373137,190,190,4,YEP
4G-LTE,TMobile,9.09,1609096382418,170,169,4,YEP
4G-LTE,TMobile,9.1,1609096391688,200,200,4,YEP
4G-LTE,TMobile,9.11,1609096400998,173,173,4,YEP
4G-LTE,TMobile,9.12,1609096410292,156,155,4,YEP
4G-LTE,TMobile,9.13,1609096419577,110,110,4,YEP
4G-LTE,TMobile,9.14,1609096428827,180,181,4,YEP
4G-LTE,TMobile,9.15,1609096438158,130,129,4,YEP
4G-LTE,TMobile,9.16,1609096447448,95,94,4,YEP
4G-LTE,TMobile,9.17,1609096456713,115,114,4,YEP
4G-LTE,TMobile,9.18,1609096466008,120,119,4,YEP
4G-LTE,TMobile,9.19,1609096475318,390,389,4,YEP
4G-LTE,TMobile,9.2,1609096484907,100,100,4,YEP
4G-LTE,TMobile,9.21,1609096494217,400,400,4,YEP
4G-LTE,TMobile,9.22,1609096503838,371,370,4,YEP
4G-LTE,TMobile,9.23,1609096513438,349,349,4,YEP
4G-LTE,TMobile,9.24,1609096523028,380,379,4,YEP
4G-LTE,TMobile,9.25,1609096532658,350,349,4,YEP
4G-LTE,TMobile,9.26,1609096542268,347,346,4,YEP
4G-LTE,TMobile,9.27,1609096551884,323,323,4,YEP
4G-LTE,TMobile,9.28,1609096561487,320,320,4,YEP
4G-LTE,TMobile,9.29,1609096571097,314,315,4,YEP
4G-LTE,TMobile,9.3,1609096580712,115,115,4,YEP
4G-LTE,TMobile,9.31,1609096590137,153,154,4,YEP
4G-LTE,TMobile,9.32,1609096599611,286,286,4,YEP
4G-LTE,TMobile,9.33,1609096609227,240,240,4,YEP
4G-LTE,TMobile,9.34,1609096618808,280,279,4,YEP
4G-LTE,TMobile,9.35,1609096628437,253,254,4,YEP
4G-LTE,TMobile,9.36,1609096638051,216,217,4,DIS
4G-LTE,TMobile,9.37,1609096647638,255,254,4,YEP
4G-LTE,TMobile,9.38,1609096657272,215,215,4,YEP
4G-LTE,TMobile,9.39,1609096666877,210,210,4,YEP
4G-LTE,TMobile,9.4,1609096676488,200,199,4,YEP
4G-LTE,TMobile,9.41,1609096686098,200,200,4,YEP
4G-LTE,TMobile,9.42,1609096695718,150,149,4,YEP
4G-LTE,TMobile,9.43,1609096705297,190,190,4,YEP
4G-LTE,TMobile,9.44,1609096714927,170,170,4,YEP
4G-LTE,TMobile,9.45,1609096724548,110,109,4,YEP
4G-LTE,TMobile,9.46,1609096734117,174,175,4,YEP
4G-LTE,TMobile,9.47,1609096743762,143,143,4,BAD
4G-LTE,TMobile,9.48,1609096753386,102,101,4,YEP
4G-LTE,TMobile,9.49,1609096762978,90,90,4,YEP
4G-LTE,TMobile,9.5,1609096772568,120,119,4,YEP
4G-LTE,TMobile,9.51,1609096782197,420,420,4,YEP
4G-LTE,TMobile,9.52,1609096792137,400,400,4,YEP
4G-LTE,TMobile,9.53,1609096802068,390,390,4,YEP
4G-LTE,TMobile,9.54,1609096811998,370,369,4,YEP
4G-LTE,TMobile,9.55,1609096821918,380,379,4,YEP
4G-LTE,TMobile,9.56,1609096831857,350,350,4,YEP
4G-LTE,TMobile,9.57,1609096841778,350,349,4,YEP
4G-LTE,TMobile,9.58,1609096851708,320,319,4,YEP
4G-LTE,TMobile,9.59,1609096861618,350,350,4,YEP
4G-LTE,TMobile,9.6,1609096871568,320,319,4,YEP
4G-LTE,TMobile,9.61,1609096881497,290,290,4,YEP
4G-LTE,TMobile,9.62,1609096891408,320,319,4,YEP
4G-LTE,TMobile,9.63,1609096901358,290,289,4,YEP
4G-LTE,TMobile,9.64,1609096911287,280,280,4,YEP
4G-LTE,TMobile,9.65,1609096921218,270,269,4,YEP
4G-LTE,TMobile,9.66,1609096931147,260,261,4,YEP
4G-LTE,TMobile,9.67,1609096941078,250,249,4,YEP
4G-LTE,TMobile,9.68,1609096951008,240,239,4,YEP
4G-LTE,TMobile,9.69,1609096960938,230,229,4,YEP
4G-LTE,TMobile,9.7,1609096970868,150,149,4,YEP
4G-LTE,TMobile,9.71,1609096980727,135,135,4,YEP
4G-LTE,TMobile,9.72,1609096990583,335,334,4,YEP
4G-LTE,TMobile,9.73,1609097000648,180,179,4,YEP
4G-LTE,TMobile,9.74,1609097010568,180,179,4,YEP
4G-LTE,TMobile,9.75,1609097020498,198,198,4,YEP
4G-LTE,TMobile,9.76,1609097030456,162,161,4,YEP
4G-LTE,TMobile,9.77,1609097040388,120,119,4,YEP
4G-LTE,TMobile,9.78,1609097050288,160,160,4,YEP
4G-LTE,TMobile,9.79,1609097060238,139,139,4,YEP
4G-LTE,TMobile,9.8,1609097070177,110,111,4,YEP
4G-LTE,TMobile,9.81,1609097080098,119,118,4,YEP
4G-LTE,TMobile,9.82,1609097090036,411,411,4,YEP
4G-LTE,TMobile,9.83,1609097100277,440,440,4,YEP
4G-LTE,TMobile,9.84,1609097110558,350,349,4,YEP
4G-LTE,TMobile,9.85,1609097120758,440,439,4,YEP
4G-LTE,TMobile,9.86,1609097131058,380,379,4,YEP
4G-LTE,TMobile,9.87,1609097141308,445,444,4,YEP
4G-LTE,TMobile,9.88,1609097151633,295,294,4,YEP
4G-LTE,TMobile,9.89,1609097161818,340,339,4,YEP
4G-LTE,TMobile,9.9,1609097172057,340,340,4,YEP
4G-LTE,TMobile,9.91,1609097182307,340,340,4,YEP
4G-LTE,TMobile,9.92,1609097192568,290,290,4,YEP
4G-LTE,TMobile,9.93,1609097202788,330,329,4,YEP
4G-LTE,TMobile,9.94,1609097213058,300,300,4,YEP
4G-LTE,TMobile,9.95,1609097223308,291,290,4,YEP
4G-LTE,TMobile,9.96,1609097233558,288,288,4,YEP
4G-LTE,TMobile,9.97,1609097243816,434,434,4,YEP
4G-LTE,TMobile,9.98,1609097254230,407,408,4,YEP
4G-LTE,TMobile,9.99,1609097264628,330,329,4,YEP
4G-LTE,TMobile,10,1609097274958,410,409,4,YEP
4G-LTE,TMobile,10.01,1609097285378,545,545,4,YEP
4G-LTE,TMobile,10.02,1609097295943,1645,1645,4,YEP
4G-LTE,TMobile,10.03,1609097307618,175,174,4,YEP
4G-LTE,TMobile,10.04,1609097317833,1493,1493,4,YEP
4G-LTE,TMobile,10.05,1609097329376,280,280,4,YEP
4G-LTE,TMobile,10.06,1609097339716,282,282,4,YEP
4G-LTE,TMobile,10.07,1609097350068,1265,1264,4,YEP
4G-LTE,TMobile,10.08,1609097361413,335,335,4,YEP
4G-LTE,TMobile,10.09,1609097371838,1235,1234,4,YEP
4G-LTE,TMobile,10.1,1609097383173,85,85,4,YEP
4G-LTE,TMobile,10.11,1609097393368,1495,1495,4,YEP
4G-LTE,TMobile,10.12,1609097404983,881,880,4,YEP
4G-LTE,TMobile,10.13,1609097415993,599,600,4,YEP
4G-LTE,TMobile,10.14,1609097426733,1381,1381,4,YEP
