timestamp,latitude,longitude,movingSpeed,compassDirection,nrStatus,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nr_ssRsrp_avg,nr_ssSinr_avg,mobileRx,mobileTx,currentNow,voltageNow,nrStatus_array
2021-01-24 13:55:12,44.973675899999996,-93.2224814,0.00574052525,243,NOT_RESTRICTED,,,,,,,375025786,19931605614,-1023.3333333333334,3830000,['NOT_RESTRICTED']
2021-01-24 13:55:13,44.973675899999996,-93.22248142999999,0.00456962735,259,CONNECTED,,,,,,,375025870,19931605698,-817.7,3830000,['CONNECTED']
2021-01-24 13:55:14,44.973675899999996,-93.22248153000001,0.0057291534800000005,271,CONNECTED,-73.0,-73.0,6.0,-73.0,-73.0,6.0,375025870,19931605698,-677.5,3830000,['CONNECTED']
2021-01-24 13:55:15,44.97367593,-93.22248163,0.007345342119999999,282,CONNECTED,-76.0,-76.0,3.0,-76.0,-76.0,3.0,375025870,19931605698,-607.2,3830000,['CONNECTED']
2021-01-24 13:55:16,44.973676000000005,-93.2224817,0.008029104700000001,305,CONNECTED,-75.0,-75.0,3.0,-75.0,-75.0,3.0,375025922,19931605750,-712.2,3830000,['CONNECTED']
2021-01-24 13:55:17,44.97367602999999,-93.2224817,0.006243445480000001,321,CONNECTED,-76.0,-76.0,5.0,-76.0,-76.0,5.0,375025922,19931605750,-636.0,3830000,['CONNECTED']
2021-01-24 13:55:18,44.97367609999999,-93.22248173,0.006741782239999999,337,CONNECTED,-75.0,-75.0,5.0,-75.0,-75.0,5.0,375025974,19931605802,-648.0,3830000,['CONNECTED']
2021-01-24 13:55:19,44.97367609999999,-93.22248179999998,0.00512468586,314,CONNECTED,-76.0,-76.0,3.0,-76.0,-76.0,3.0,375025974,19931605802,-605.3,3830000,['CONNECTED']
2021-01-24 13:55:20,44.973676129999994,-93.22248183,0.00444593904,310,CONNECTED,-75.0,-75.0,4.0,-75.0,-75.0,4.0,375026026,19931605854,-643.3,3830000,['CONNECTED']
2021-01-24 13:55:21,44.97367620000001,-93.22248190000002,0.006515748489999999,320,CONNECTED,-76.0,-76.0,3.0,-76.0,-76.0,3.0,375026026,19931605854,-609.8,3830000,['CONNECTED']
2021-01-24 13:55:22,44.97367620000001,-93.22248193000001,0.00495504715,311,CONNECTED,-77.0,-77.0,3.0,-77.0,-77.0,3.0,375026130,19931605958,-695.9,3830000,['CONNECTED']
2021-01-24 13:55:23,44.97367620000001,-93.22248203,0.0055811164400000005,285,CONNECTED,-76.0,-76.0,4.0,-76.0,-76.0,3.9,375026130,19931605958,-636.6,3830000,['CONNECTED']
2021-01-24 13:55:24,44.97367622222223,-93.22248212222222,0.00712563288888889,281,CONNECTED,-76.0,-76.0,3.0,-76.0,-76.0,3.0,375026214,19931606042,-626.6666666666666,3830000,['CONNECTED']
2021-01-24 13:55:25,44.97367633,-93.22248220000002,0.009258786,312,CONNECTED,-76.0,-76.0,3.0,-76.0,-76.0,3.0,375026298,19931606126,-686.9,3830000,['CONNECTED']
2021-01-24 13:55:26,44.973676399999995,-93.22248220000002,0.008979994199999997,335,CONNECTED,-76.0,-76.0,2.0,-76.0,-76.0,2.0,375026298,19931606126,-714.7,3830000,['CONNECTED']
2021-01-24 13:55:27,44.973676399999995,-93.22248220000002,0.005162413040000001,344,CONNECTED,-74.0,-74.0,4.0,-74.0,-74.0,4.0,375026298,19931606126,-615.7,3830000,['CONNECTED']
2021-01-24 13:55:28,44.97367642,-93.22248222,0.0032664401599999996,346,CONNECTED,-73.0,-73.0,3.0,-73.0,-73.0,3.0,375026298,19931606126,-685.4,3830000,['CONNECTED']
2021-01-24 13:55:29,44.9736765,-93.22248230000001,0.006201806799999999,327,CONNECTED,-73.0,-73.0,5.0,-73.0,-73.0,5.0,375026298,19931606126,-659.3,3830000,['CONNECTED']
2021-01-24 13:55:30,44.97367647,-93.22248230000001,0.004254556709999999,288,CONNECTED,-73.0,-73.0,5.0,-73.0,-73.0,5.0,375026298,19931606126,-578.6,3830000,['CONNECTED']
2021-01-24 13:55:31,44.973676399999995,-93.22248235999999,0.00484773559,214,CONNECTED,-73.0,-73.0,5.0,-73.0,-73.0,5.0,375026298,19931606126,-633.2,3830000,['CONNECTED']
2021-01-24 13:55:32,44.973676399999995,-93.22248253000001,0.008398053899999997,249,CONNECTED,-74.0,-74.0,4.0,-74.0,-74.0,4.0,375026298,19931606126,-638.5,3830000,['CONNECTED']
2021-01-24 13:55:33,44.97367643,-93.22248263000002,0.0092990934,269,CONNECTED,-76.0,-76.0,2.0,-76.0,-76.0,2.0,375026298,19931606126,-666.1,3830000,['CONNECTED']
2021-01-24 13:55:34,44.97367652999999,-93.22248276000002,0.011234460200000001,298,CONNECTED,-76.0,-76.0,3.0,-76.0,-76.0,3.0,375026298,19931606126,-579.6,3827400,['CONNECTED']
2021-01-24 13:55:35,44.97367666,-93.22248293000001,0.015946135900000002,311,NOT_RESTRICTED,-80.0,-80.0,-1.0,-80.0,-80.0,-1.0,375026298,19931606126,-624.3,3804000,"['CONNECTED', 'NOT_RESTRICTED']"
2021-01-24 13:55:36,44.97367680000001,-93.22248302999999,0.0173917388,323,NOT_RESTRICTED,,,,,,,375026382,19931606210,-640.3,3804000,['NOT_RESTRICTED']
2021-01-24 13:55:37,44.97367680000001,-93.22248309999999,0.011553439099999998,316,CONNECTED,-80.0,-80.0,-1.0,-80.0,-80.0,-1.0,375026382,19931606294,-703.2,3804000,"['NOT_RESTRICTED', 'CONNECTED']"
2021-01-24 13:55:38,44.97367680000001,-93.22248309999999,0.00521731623,311,CONNECTED,-78.0,-78.0,3.0,-79.2,-79.2,0.6,375026466,19931606294,-761.2,3804000,['CONNECTED']
2021-01-24 13:55:39,44.973676770000004,-93.22248312999997,0.00335794353,279,CONNECTED,-77.0,-77.0,5.0,-77.6,-77.6,3.8,375026466,19931606294,-623.6,3804000,['CONNECTED']
2021-01-24 13:55:40,44.973676669999996,-93.22248323000001,0.00760989374,216,CONNECTED,-73.0,-73.0,5.0,-75.4,-75.4,4.6,375026466,19931606294,-584.2,3804000,['CONNECTED']
2021-01-24 13:55:41,44.97367659999999,-93.22248330000001,0.0096960399,213,CONNECTED,-73.0,-73.0,4.0,-73.0,-73.0,3.6,375026466,19931606294,-637.5,3804000,['CONNECTED']
2021-01-24 13:55:42,44.973676569999995,-93.22248335999998,0.00834513785,217,CONNECTED,-72.0,-72.0,3.0,-72.6,-72.6,2.6,375026466,19931606294,-672.0,3804000,['CONNECTED']
2021-01-24 13:55:43,44.97367647,-93.22248349999998,0.01137009595,223,CONNECTED,-71.0,-71.0,4.0,-71.6,-71.6,2.8,375026466,19931606294,-678.8,3804000,['CONNECTED']
2021-01-24 13:55:44,44.97367637000001,-93.22248353,0.011468513600000002,211,CONNECTED,-71.0,-71.0,4.0,-71.4,-71.4,3.6,375026466,19931606294,-588.7,3804000,['CONNECTED']
2021-01-24 13:55:45,44.97367630000001,-93.22248363000001,0.011354507699999999,215,CONNECTED,-72.0,-72.0,4.0,-72.0,-72.0,3.4,375026466,19931606294,-703.9,3804000,['CONNECTED']
2021-01-24 13:55:46,44.97367630000001,-93.22248376000002,0.0098857056,237,CONNECTED,-72.0,-72.0,4.0,-72.0,-72.0,4.0,375026466,19931606294,-549.6,3804000,['CONNECTED']
2021-01-24 13:55:47,44.973676322222225,-93.22248396666669,0.012822865111111113,263,CONNECTED,-72.0,-72.0,4.0,-72.0,-72.0,4.0,375026466,19931606294,-618.2222222222222,3804000,['CONNECTED']
2021-01-24 13:55:48,44.97367643999999,-93.22248424,0.019022050600000003,288,NOT_RESTRICTED,-72.0,-72.0,4.0,-72.0,-72.0,4.0,375026466,19931606294,-599.6,3804000,"['CONNECTED', 'NOT_RESTRICTED']"
2021-01-24 13:55:49,44.97367661999999,-93.22248441999999,0.022220420800000005,309,CONNECTED,,,,,,,375026550,19931606378,-617.1,3804000,"['NOT_RESTRICTED', 'CONNECTED']"
2021-01-24 13:55:50,44.97367673000001,-93.22248453,0.019014806900000004,318,CONNECTED,-72.0,-72.0,5.0,-72.0,-72.0,5.0,375026634,19931606462,-702.3,3804000,['CONNECTED']
2021-01-24 13:55:51,44.97367682,-93.22248462000002,0.016278182999999998,323,CONNECTED,-72.0,-72.0,5.0,-72.0,-72.0,4.9,375026634,19931606462,-655.2,3804000,['CONNECTED']
2021-01-24 13:55:52,44.973676919999996,-93.2224847,0.0140751608,327,CONNECTED,-72.0,-72.0,5.0,-72.0,-72.0,4.1,375026634,19931606462,-663.0,3804000,['CONNECTED']
2021-01-24 13:55:53,44.973677,-93.2224847,0.010317369920000001,341,CONNECTED,-72.0,-72.0,5.0,-72.1,-72.1,4.9,375026634,19931606462,-606.6,3804000,['CONNECTED']
2021-01-24 13:55:54,44.973677,-93.22248472999999,0.0056720773799999995,332,CONNECTED,-72.0,-72.0,4.0,-72.9,-72.9,4.0,375026634,19931606462,-638.9,3804000,['CONNECTED']
2021-01-24 13:55:55,44.97367703000001,-93.22248483000001,0.005485645799999999,304,CONNECTED,-72.0,-72.0,4.0,-72.1,-72.1,3.9,375026634,19931606462,-594.2,3804000,['CONNECTED']
2021-01-24 13:55:56,44.97367710000001,-93.22248492000001,0.0081354232,308,CONNECTED,-72.0,-72.0,3.0,-72.9,-72.9,3.0,375026634,19931606462,-663.1,3804000,['CONNECTED']
2021-01-24 13:55:57,44.97367713,-93.22248503,0.008814102850000002,300,CONNECTED,-72.0,-72.0,3.0,-72.0,-72.0,3.0,375026634,19931606462,-681.9,3804000,['CONNECTED']
