timestamp,latitude,longitude,locationAccuracy,movingSpeed,movingSpeedAccuracyMPS,compassDirection,compassAccuracy,nrStatus,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nr_ssRsrp_avg,nr_ssSinr_avg,mobileRx,mobileTx,currentNow,voltageNow,nrStatus_array
2021-01-24 11:52:08,44.97378750000001,-93.22257348749999,4.091374999999999,0.0043763126625,0.08602325599999999,306,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5341585,1539718,-642.125,3821000,['CONNECTED']
2021-01-24 11:52:09,44.97378750000001,-93.22257349999998,4.0879,0.0032241143,0.086023256,287,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5341757,1539875,-639.8,3782600,['CONNECTED']
2021-01-24 11:52:10,44.97378750000001,-93.22257349999998,4.0809999999999995,0.0017734402666666667,0.08602325599999999,274,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5341942,1540552,-626.2222222222222,3773000,['CONNECTED']
2021-01-24 11:52:11,44.973787439999995,-93.22257349999998,4.078000000000001,0.0035699355599999997,0.086023256,218,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5343200,1541042,-612.8,3773000,['CONNECTED']
2021-01-24 11:52:12,44.9737874,-93.22257343999999,4.0894,0.0039439366,0.086023256,146,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5343284,1541042,-579.4,3773000,['CONNECTED']
2021-01-24 11:52:13,44.973787340000015,-93.2225734,4.1168,0.0044055584,0.086023256,143,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5343284,1541042,-624.1,3773000,['CONNECTED']
2021-01-24 11:52:14,44.973787300000005,-93.2225734,4.1702,0.0042943229000000005,0.086023256,162,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5343284,1541042,-749.2,3773000,['CONNECTED']
2021-01-24 11:52:15,44.973787300000005,-93.2225734,4.249799999999999,0.002493074559999999,0.086023256,169,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5344424,1541935,-581.7,3773000,['CONNECTED']
2021-01-24 11:52:16,44.97378724,-93.2225734,4.425999999999999,0.0038823668400000005,0.086023256,176,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5344424,1541935,-632.6,3773000,['CONNECTED']
2021-01-24 11:52:17,44.973787200000004,-93.2225734,4.609399999999999,0.004421543,0.086023256,180,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5344569,1542215,-655.6,3773000,['CONNECTED']
2021-01-24 11:52:18,44.973787200000004,-93.2225734,4.769800000000001,0.0026254161000000007,0.086023256,180,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5345192,1542444,-585.6,3773000,['CONNECTED']
2021-01-24 11:52:19,44.97378714,-93.2225734,4.887999999999999,0.00393097482,0.086023256,180,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5345192,1542444,-648.9,3773000,['CONNECTED']
2021-01-24 11:52:20,44.973787099999996,-93.2225734,5.108,0.004466175280000001,0.086023256,180,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5346332,1543337,-619.5,3773000,['CONNECTED']
2021-01-24 11:52:21,44.973787040000005,-93.2225734,5.263199999999999,0.005328790380000001,0.086023256,180,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5346332,1543337,-589.7,3773000,['CONNECTED']
2021-01-24 11:52:22,44.97378700000001,-93.22257334000001,5.297199999999999,0.00574394196,0.086023256,156,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5346416,1543421,-564.0,3773000,['CONNECTED']
2021-01-24 11:52:23,44.97378694,-93.22257330000001,5.298799999999999,0.00652856396,0.086023256,151,0.0,CONNECTED,-73,-73,3,-73.0,-73.0,3.0,5346416,1543505,-606.8,3773000,['CONNECTED']
