parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_socket,_start,_end,_seconds,_bytes,bits_per_second,rtt,snd_cwnd,session_num,conn_num,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:50-06:00,13:07:50,,0.0,1.0,1.0,,476000000.0,-1,-1,1,,parallel-merged,476.0,20075,S20UPM,0
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:51-06:00,13:07:51,,1.0,2.0,1.0,,72400000.0,-1,-1,1,,parallel-merged,72.4,20075,S20UPM,1
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:52-06:00,13:07:52,,2.0,3.0,1.0,,105000000.0,-1,-1,1,,parallel-merged,105.0,20075,S20UPM,2
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:53-06:00,13:07:53,,3.0,4.0,1.0,,70300000.0,-1,-1,1,,parallel-merged,70.3,20075,S20UPM,3
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:54-06:00,13:07:54,,4.0,5.0,1.0,,75500000.0,-1,-1,1,,parallel-merged,75.5,20075,S20UPM,4
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:55-06:00,13:07:55,,5.0,6.0,1.0,,79700000.0,-1,-1,1,,parallel-merged,79.7,20075,S20UPM,5
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:56-06:00,13:07:56,,6.0,7.0,1.0,,73400000.0,-1,-1,1,,parallel-merged,73.4,20075,S20UPM,6
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:57-06:00,13:07:57,,7.0,8.0,1.0,,53500000.0,-1,-1,1,,parallel-merged,53.5,20075,S20UPM,7
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:58-06:00,13:07:58,,8.0,9.0,1.0,,88100000.0,-1,-1,1,,parallel-merged,88.1,20075,S20UPM,8
S20UPM-run20075-iPerf.txt,S20UPM-run20075-iPerf,TCP,0,2021-01-24 13:07:49 CST,2021-01-24 13:07:59-06:00,13:07:59,,9.0,10.0,1.0,,71300000.0,-1,-1,1,,parallel-merged,71.3,20075,S20UPM,9
