parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_socket,_start,_end,_seconds,_bytes,bits_per_second,rtt,rttvar,pmtu,_omitted,session_num,conn_num,iperf_type,snd_cwnd,Throughput,run_number,iperf_did,seq_no
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:42-06:00,20:28:42,,0.0,1.0,1.0,,831000000.0,-1,,,,1,,parallel-merged,-1.0,831.0,68,S20UPM,0
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:43-06:00,20:28:43,,1.0,2.0,1.0,,1110000000.0,-1,,,,1,,parallel-merged,-1.0,1110.0,68,S20UPM,1
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:44-06:00,20:28:44,,2.0,3.0,1.0,,1150000000.0,-1,,,,1,,parallel-merged,-1.0,1150.0,68,S20UPM,2
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:45-06:00,20:28:45,,3.0,4.0,1.0,,1090000000.0,-1,,,,1,,parallel-merged,-1.0,1090.0,68,S20UPM,3
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:46-06:00,20:28:46,,4.0,5.0,1.0,,488000000.0,-1,,,,1,,parallel-merged,-1.0,488.0,68,S20UPM,4
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:47-06:00,20:28:47,,5.0,6.0,1.0,,658000000.0,-1,,,,1,,parallel-merged,-1.0,658.0,68,S20UPM,5
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:48-06:00,20:28:48,,6.0,7.0,1.0,,856000000.0,-1,,,,1,,parallel-merged,-1.0,856.0,68,S20UPM,6
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:49-06:00,20:28:49,,7.0,8.0,1.0,,903000000.0,-1,,,,1,,parallel-merged,-1.0,903.0,68,S20UPM,7
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:50-06:00,20:28:50,,8.0,9.0,1.0,,950000000.0,-1,,,,1,,parallel-merged,-1.0,950.0,68,S20UPM,8
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:51-06:00,20:28:51,,9.0,10.0,1.0,,933000000.0,-1,,,,1,,parallel-merged,-1.0,933.0,68,S20UPM,9
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:52-06:00,20:28:52,,10.0,11.0,1.0,,914000000.0,-1,,,,1,,parallel-merged,-1.0,914.0,68,S20UPM,10
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:53-06:00,20:28:53,,11.0,12.0,1.0,,970000000.0,-1,,,,1,,parallel-merged,-1.0,970.0,68,S20UPM,11
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:56-06:00,20:28:56,,14.0,15.0,1.0,,1170000000.0,-1,,,,1,,parallel-merged,-1.0,1170.0,68,S20UPM,14
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:57-06:00,20:28:57,,15.0,16.0,1.0,,779000000.0,-1,,,,1,,parallel-merged,-1.0,779.0,68,S20UPM,15
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:58-06:00,20:28:58,,16.0,17.0,1.0,,935000000.0,-1,,,,1,,parallel-merged,-1.0,935.0,68,S20UPM,16
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:28:59-06:00,20:28:59,,17.0,18.0,1.0,,1030000000.0,-1,,,,1,,parallel-merged,-1.0,1030.0,68,S20UPM,17
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:29:00-06:00,20:29:00,,18.0,19.0,1.0,,948000000.0,-1,,,,1,,parallel-merged,-1.0,948.0,68,S20UPM,18
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:29:01-06:00,20:29:01,,19.0,20.0,1.0,,803000000.0,-1,,,,1,,parallel-merged,-1.0,803.0,68,S20UPM,19
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:29:02-06:00,20:29:02,,20.0,21.0,1.0,,617000000.0,-1,,,,1,,parallel-merged,-1.0,617.0,68,S20UPM,20
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:29:03-06:00,20:29:03,,21.0,22.0,1.0,,669000000.0,-1,,,,1,,parallel-merged,-1.0,669.0,68,S20UPM,21
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:29:04-06:00,20:29:04,,22.0,23.0,1.0,,1000000000.0,-1,,,,1,,parallel-merged,-1.0,1000.0,68,S20UPM,22
S20UPM-run68-iPerf.txt,S20UPM-run68-iPerf,TCP,1143.0,2021-01-13 20:28:41 CST,2021-01-13 20:29:05-06:00,20:29:05,,23.0,24.0,1.0,,771000000.0,-1,,,,1,,parallel-merged,-1.0,771.0,68,S20UPM,23
