parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_socket,_start,_end,_seconds,_bytes,bits_per_second,rtt,snd_cwnd,session_num,conn_num,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:16:53-06:00,17:16:53,,0.0,1.0,1.0,,472000000.0,-1,-1,1,,parallel-merged,472.0,20079,S20UPM,0
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:16:54-06:00,17:16:54,,1.0,2.0,1.0,,39800000.0,-1,-1,1,,parallel-merged,39.8,20079,S20UPM,1
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:16:55-06:00,17:16:55,,2.0,3.0,1.0,,62900000.0,-1,-1,1,,parallel-merged,62.9,20079,S20UPM,2
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:16:57.010000-06:00,17:16:57.010000,,4.01,5.01,1.0,,56600000.0,-1,-1,1,,parallel-merged,56.6,20079,S20UPM,4
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:16:59-06:00,17:16:59,,6.0,7.0,1.0,,36700000.0,-1,-1,1,,parallel-merged,36.7,20079,S20UPM,6
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:00-06:00,17:17:00,,7.0,8.0,1.0,,37700000.0,-1,-1,1,,parallel-merged,37.7,20079,S20UPM,7
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:01-06:00,17:17:01,,8.0,9.0,1.0,,38800000.0,-1,-1,1,,parallel-merged,38.8,20079,S20UPM,8
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:02-06:00,17:17:02,,9.0,10.0,1.0,,21000000.0,-1,-1,1,,parallel-merged,21.0,20079,S20UPM,9
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:03-06:00,17:17:03,,10.0,11.0,1.0,,55600000.0,-1,-1,1,,parallel-merged,55.6,20079,S20UPM,10
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:04-06:00,17:17:04,,11.0,12.0,1.0,,38800000.0,-1,-1,1,,parallel-merged,38.8,20079,S20UPM,11
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:05-06:00,17:17:05,,12.0,13.0,1.0,,44000000.0,-1,-1,1,,parallel-merged,44.0,20079,S20UPM,12
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:06-06:00,17:17:06,,13.0,14.0,1.0,,24100000.0,-1,-1,1,,parallel-merged,24.1,20079,S20UPM,13
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:07-06:00,17:17:07,,14.0,15.0,1.0,,53500000.0,-1,-1,1,,parallel-merged,53.5,20079,S20UPM,14
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:08-06:00,17:17:08,,15.0,16.0,1.0,,33600000.0,-1,-1,1,,parallel-merged,33.6,20079,S20UPM,15
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:09-06:00,17:17:09,,16.0,17.0,1.0,,45100000.0,-1,-1,1,,parallel-merged,45.1,20079,S20UPM,16
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:10-06:00,17:17:10,,17.0,18.0,1.0,,39800000.0,-1,-1,1,,parallel-merged,39.8,20079,S20UPM,17
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:11-06:00,17:17:11,,18.0,19.0,1.0,,34600000.0,-1,-1,1,,parallel-merged,34.6,20079,S20UPM,18
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:12-06:00,17:17:12,,19.0,20.0,1.0,,38800000.0,-1,-1,1,,parallel-merged,38.8,20079,S20UPM,19
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:13-06:00,17:17:13,,20.0,21.0,1.0,,26200000.0,-1,-1,1,,parallel-merged,26.2,20079,S20UPM,20
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:14-06:00,17:17:14,,21.0,22.0,1.0,,37700000.0,-1,-1,1,,parallel-merged,37.7,20079,S20UPM,21
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:15-06:00,17:17:15,,22.0,23.0,1.0,,29400000.0,-1,-1,1,,parallel-merged,29.4,20079,S20UPM,22
S20UPM-run20079-iPerf.txt,S20UPM-run20079-iPerf,TCP,0,2021-01-24 17:16:52 CST,2021-01-24 17:17:16-06:00,17:17:16,,23.0,24.0,1.0,,18900000.0,-1,-1,1,,parallel-merged,18.9,20079,S20UPM,23
