timestamp,latitude,longitude,movingSpeed,compassDirection,nrStatus,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nr_ssRsrp_avg,nr_ssSinr_avg,mobileRx,mobileTx,currentNow,voltageNow,nrStatus_array,downlink_mbps,uplink_mbps,sw_power,sw_power_rolled,sw_power_baseline,Fixedtimestamp,_start,_end,iperf_type,Throughput,run_number,seq_no,time_since_start,avg_power,avg_power_rolled,avg_power_baseline,provider,radio_type_used,direction
2021-01-17 14:51:30,44.97373340000001,-93.22251379999999,0.27460899999999994,356,CONNECTED,-95.0,-95.0,12.0,-95.0,-95.0,12.0,214421926,466766,-1780.5,3762000,['CONNECTED'],961.310624,0.788992,6698.241,3755.309845333334,1487.3241803333344,2021-01-17 14:51:30.010000-06:00,2.01,3.01,parallel-merged,953.0,168.0,2.0,0.0,6569.585519999998,6569.673311999955,4301.6876469999315,Verizon,DEFAULT,downlink
2021-01-17 14:51:31,44.97373223,-93.22251308000004,0.09637411150000004,49,CONNECTED,-91.0,-91.0,14.0,-92.2,-92.2,13.4,339763450,581298,-1942.1,3762000,['CONNECTED'],1002.732192,0.916256,7306.1802,4257.707785333334,1989.7221203333343,2021-01-17 14:51:31.010000-06:00,3.01,4.01,parallel-merged,963.0,168.0,3.0,1.0,7009.690219999985,7009.082601999976,4741.0969369999375,Verizon,DEFAULT,downlink
2021-01-17 14:51:32,44.97373240000001,-93.2225088,0.19862133,74,CONNECTED,-89.0,-89.0,18.0,-89.6,-89.6,16.8,469101882,696358,-2013.3,3762000,['CONNECTED'],1034.707456,0.92048,7574.0346,4737.891912000001,2469.9062470000013,2021-01-17 14:51:32.010000-06:00,4.01,5.01,parallel-merged,1030.0,168.0,4.0,2.0,7110.576720000002,7109.210465999932,4841.22480099993,Verizon,DEFAULT,downlink
2021-01-17 14:51:33,44.97373538,-93.22250576000002,0.262563372,46,CONNECTED,-87.0,-87.0,18.0,-87.4,-87.4,18.0,604510886,812198,-1821.1,3762000,['CONNECTED'],1083.272032,0.92672,6850.9782,5167.699752,2899.7140870000007,2021-01-17 14:51:33.010000-06:00,5.01,6.01,parallel-merged,1020.0,168.0,5.0,3.0,7105.612679999998,7105.406351999888,4837.42068699994,Verizon,DEFAULT,downlink
2021-01-17 14:51:34,44.97373720000001,-93.2225052,0.25362875999999995,30,CONNECTED,-87.0,-87.0,18.0,-88.6,-88.6,16.4,734545610,922058,-1873.7,3762000,['CONNECTED'],1040.277792,0.87888,7048.8594,5620.816692,3352.8310270000006,2021-01-17 14:51:34.010000-06:00,6.01,7.01,parallel-merged,1090.0,168.0,6.0,4.0,7068.940480000012,7069.350543999939,4801.364878999932,Verizon,DEFAULT,downlink
2021-01-17 14:51:35,44.97374050000001,-93.2225062,0.28904858000000005,4,CONNECTED,-89.0,-89.0,18.0,-89.0,-89.0,17.6,879699186,1044518,-1814.7,3762000,['CONNECTED'],1161.228608,0.97968,6826.9014,6053.584680000001,3785.599015000001,2021-01-17 14:51:35.010000-06:00,7.01,8.01,parallel-merged,1130.0,168.0,7.0,5.0,6974.109221844358,6975.173582716454,4707.187917716469,Verizon,DEFAULT,downlink
2021-01-17 14:51:36,44.973742200000004,-93.22250800000002,0.24282154,344,CONNECTED,-89.0,-89.0,18.0,-89.0,-89.0,17.2,1025514810,1170462,-1831.2,3762000,['CONNECTED'],1166.524992,1.007552,6888.9744,6488.359020000001,4220.3733550000015,2021-01-17 14:51:36.010000-06:00,8.01,9.01,parallel-merged,1120.0,168.0,8.0,6.0,7157.8290999999745,7156.223593999888,4888.237928999908,Verizon,DEFAULT,downlink
2021-01-17 14:51:37,44.97374250000001,-93.2225101,0.17171593,315,CONNECTED,-89.0,-89.0,17.0,-89.0,-89.0,17.0,1166459610,1294966,-1772.9,3762000,['CONNECTED'],1127.5584,0.996032,6669.6498,6843.717540000001,4575.731875000001,2021-01-17 14:51:37.010000-06:00,9.01,10.01,parallel-merged,1080.0,168.0,9.0,7.0,7151.556040000008,7151.604077999881,4883.618412999895,Verizon,DEFAULT,downlink
2021-01-17 14:51:38,44.97374238,-93.22251144,0.111098485,292,CONNECTED,-87.0,-87.0,18.0,-87.4,-87.4,17.8,1320673962,1428814,-1980.7,3762000,['CONNECTED'],1233.714816,1.070784,7451.3934,7017.822900000001,4749.837235000001,2021-01-17 14:51:38.010000-06:00,10.01,11.01,parallel-merged,1220.0,168.0,10.0,8.0,7158.043120000007,7157.4372579998835,4889.451592999907,Verizon,DEFAULT,downlink
2021-01-17 14:51:39,44.9737426,-93.22251300000002,0.13361249999999994,285,CONNECTED,-87.0,-87.0,18.0,-92.6,-92.6,11.6,1469153250,1561014,-1982.3,3762000,['CONNECTED'],1187.834304,1.0576,7457.4126,7077.2625,4809.276835000001,2021-01-17 14:51:39.010000-06:00,11.01,12.01,parallel-merged,1200.0,168.0,11.0,9.0,7603.8793599999935,7605.31975199992,5337.334086999936,Verizon,DEFAULT,downlink
2021-01-17 14:51:40,44.9737426,-93.22251459999998,0.14251386,276,CONNECTED,-94.0,-94.0,14.0,-94.0,-94.0,13.2,1634557798,1713426,-1863.3,3762000,['CONNECTED'],1323.236384,1.219296,7009.7346,7108.41186,4840.426195,2021-01-17 14:51:40.010000-06:00,12.01,13.01,parallel-merged,1250.0,168.0,12.0,10.0,7383.237760000001,7382.579019999905,5114.5933549999045,Verizon,DEFAULT,downlink
2021-01-17 14:51:41,44.97374310000001,-93.2225135,0.039959382,357,CONNECTED,-91.0,-91.0,14.0,-91.6,-91.6,13.2,1791835514,1852434,-1738.5,3762000,['CONNECTED'],1258.221728,1.112064,6540.237,7031.817539999999,4763.831875,2021-01-17 14:51:41.010000-06:00,13.01,14.01,parallel-merged,1170.0,168.0,13.0,11.0,7112.8215399999945,7113.968525999942,4845.982860999921,Verizon,DEFAULT,downlink
2021-01-17 14:51:42,44.97374409999999,-93.2225091,0.22825075999999994,68,CONNECTED,-91.0,-91.0,17.0,-91.0,-91.0,16.2,1936070690,1991722,-2024.6,3762000,['CONNECTED'],1153.881408,1.114304,7616.5452,7036.068599999999,4768.0829349999985,2021-01-17 14:51:42.010000-06:00,14.01,15.01,parallel-merged,1170.0,168.0,14.0,12.0,7417.338187637517,7415.646067213426,5147.660402213372,Verizon,DEFAULT,downlink
