start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,0.500081,0.500081,94371840,1509705000.0,2,False,0,summary,88.07325,0.60974,2020-12-19 02:57:51.500081,1509.705,TCP,downlink,1509.705
0.500081,1.000119,0.500038,110826432,1773088000.0,0,False,1,summary,75.483375,1.974732,2020-12-19 02:57:52.000119,1773.088,TCP,downlink,1641.3964999999998
1.000119,1.500132,0.500013,99095680,1585489000.0,0,False,2,summary,75.449125,2.275216,2020-12-19 02:57:52.500132,1585.489,TCP,downlink,1622.7606666666663
1.500132,2.000035,0.499903,124165152,1987028000.0,0,False,3,summary,85.262875,2.69094,2020-12-19 02:57:53.000035,1987.028,TCP,downlink,1781.868333333333
2.000035,2.500078,0.500043,127648928,2042208000.0,1,False,4,summary,97.259375,3.123692,2020-12-19 02:57:53.500078,2042.208,TCP,downlink,1871.575
2.500078,3.000079,0.500001,137059392,2192945000.0,0,False,5,summary,109.449875,3.635564,2020-12-19 02:57:54.000079,2192.945,TCP,downlink,2074.0603333333333
3.000079,3.500113,0.500034,128986016,2063637000.0,0,False,6,summary,127.982375,4.131268,2020-12-19 02:57:54.500113,2063.637,TCP,downlink,2099.596666666667
3.500113,4.000115,0.500002,124883936,1998134000.0,0,False,7,summary,133.246375,4.302236,2020-12-19 02:57:55.000115,1998.134,TCP,downlink,2084.9053333333336
4.000115,4.500114,0.499999,126200512,2019213000.0,1,False,8,summary,140.594375,4.487308,2020-12-19 02:57:55.500114,2019.213,TCP,downlink,2026.9946666666667
4.500114,5.000115,0.500001,106677120,1706830000.0,0,False,9,summary,134.702375,4.644688,2020-12-19 02:57:56.000115,1706.83,TCP,downlink,1908.059
5.000115,5.500075,0.49996,125546944,2008912000.0,0,False,10,summary,151.7625,4.8891,2020-12-19 02:57:56.500075,2008.912,TCP,downlink,1911.6516666666666
5.500075,6.000104,0.500029,114050560,1824704000.0,0,False,11,summary,228.694625,5.134028,2020-12-19 02:57:57.000104,1824.704,TCP,downlink,1846.8153333333332
6.000104,6.50011,0.500006,100172768,1602744000.0,2,False,12,summary,136.369,4.851948,2020-12-19 02:57:57.500110,1602.744,TCP,downlink,1812.12
6.50011,7.00011,0.5,135714944,2171439104.0,0,False,13,summary,162.240375,5.126116,2020-12-19 02:57:58.000110,2171.439104,TCP,downlink,1866.2957013333332
7.00011,7.500328,0.500218,92694368,1482464000.0,3,False,14,summary,187.53075,4.727592,2020-12-19 02:57:58.500328,1482.464,TCP,downlink,1752.2157013333333
7.500328,8.000126,0.499798,130433536,2087780000.0,0,False,15,summary,158.64625,4.823912,2020-12-19 02:57:59.000126,2087.78,TCP,downlink,1913.8943680000002
8.000126,8.500098,0.499972,123981664,1983818000.0,0,False,16,summary,157.09625,4.914384,2020-12-19 02:57:59.500098,1983.818,TCP,downlink,1851.3540000000003
