start,end,seconds,bytes,bits_per_second,retransmits,omitted,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,0.50015,0.50015,11665408,186590563.785379,0,False,0,summary,99.512,0.159616,2021-05-11 17:39:36.500150,186.590563785379,TCP,downlink,186.590563785379
0.50015,1.00009,0.49994,2359296,37753272.545125,0,False,1,summary,42.107,0.276576,2021-05-11 17:39:37.000090,37.753272545125,TCP,downlink,112.17191816525201
1.00009,1.500152,0.500062,4325376,69197437.063596,0,False,2,summary,43.007,0.485728,2021-05-11 17:39:37.500152,69.197437063596,TCP,downlink,97.84709113136667
1.500152,2.00016,0.500008,6946816,111147254.029214,0,False,3,summary,42.584,0.822848,2021-05-11 17:39:38.000160,111.147254029214,TCP,downlink,72.69932121264499
2.00016,2.500068,0.499908,12189696,195071040.608571,0,False,4,summary,49.282,1.43104,2021-05-11 17:39:38.500068,195.071040608571,TCP,downlink,125.13857723379367
2.500068,3.00015,0.500082,21757952,348070137.365346,0,False,5,summary,43.307,2.505696,2021-05-11 17:39:39.000150,348.070137365346,TCP,downlink,218.09614400104365
3.00015,3.50014,0.49999,37748736,603991872.242253,0,False,6,summary,43.59,4.393568,2021-05-11 17:39:39.500140,603.991872242253,TCP,downlink,382.3776834053899
3.50014,4.000066,0.499926,70778880,1132630000.0,0,False,7,summary,43.769,7.642304,2021-05-11 17:39:40.000066,1132.63,TCP,downlink,694.8973365358664
4.000066,4.500071,0.500005,94765056,1516226000.0,0,False,8,summary,45.726,8.433504,2021-05-11 17:39:40.500071,1516.226,TCP,downlink,1084.282624080751
4.500071,5.000149,0.500078,95420416,1526489000.0,0,False,9,summary,43.176,8.433504,2021-05-11 17:39:41.000149,1526.489,TCP,downlink,1391.7816666666668
5.000149,5.500068,0.499919,93716480,1499707000.0,0,False,10,summary,49.336,8.433504,2021-05-11 17:39:41.500068,1499.707,TCP,downlink,1514.140666666667
5.500068,6.00007,0.500002,99352576,1589634000.0,0,False,11,summary,45.184,8.433504,2021-05-11 17:39:42.000070,1589.634,TCP,downlink,1538.61
6.00007,6.500067,0.499997,92930048,1486890000.0,0,False,12,summary,65.919,8.433504,2021-05-11 17:39:42.500067,1486.89,TCP,downlink,1525.4103333333333
6.500067,7.000095,0.500028,98828288,1581164000.0,0,False,13,summary,42.232,8.433504,2021-05-11 17:39:43.000095,1581.164,TCP,downlink,1552.5626666666665
7.000095,7.500098,0.500003,88604672,1417666000.0,0,False,14,summary,44.491,8.433504,2021-05-11 17:39:43.500098,1417.666,TCP,downlink,1495.2399999999998
7.500098,8.000148,0.50005,95289344,1524477000.0,0,False,15,summary,41.27,8.433504,2021-05-11 17:39:44.000148,1524.477,TCP,downlink,1507.7689999999996
8.000148,8.500076,0.499928,91095040,1457731000.0,0,False,16,summary,60.208,8.433504,2021-05-11 17:39:44.500076,1457.731,TCP,downlink,1466.6246666666664
8.500076,9.00007,0.499994,98172928,1570786000.0,0,False,17,summary,41.84,8.433504,2021-05-11 17:39:45.000070,1570.786,TCP,downlink,1517.6646666666663
9.00007,9.500072,0.500002,95551488,1528818000.0,0,False,18,summary,56.601,8.433504,2021-05-11 17:39:45.500072,1528.818,TCP,downlink,1519.1116666666665
