start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,1.000014,1.0000139474868774,188488608,1507887832.75424,0.0020752950682585997,52465,189448,27.69361513449601,False,False,0,summary,,,2020-12-19 04:00:49.000014,1507.88783275424,UDP,downlink,1507.88783275424
1.000014,2.003478,1.0034639835357666,187986368,1498699473.6980479,0.26090317283808395,33218,169836,19.558868555547704,False,False,1,summary,,,2020-12-19 04:00:50.003478,1498.6994736980478,UDP,downlink,1503.2936532261438
2.003478,3.000016,0.996537983417511,195453920,1569063483.7998931,0.002385592249519851,27874,169919,16.404286748391883,False,False,2,summary,,,2020-12-19 04:00:51.000016,1569.0634837998932,UDP,downlink,1525.2169300840603
3.000016,4.000082,1.0000660419464111,192952352,1543516879.140983,0.0031321175339000884,29027,169254,17.149963959492833,False,False,3,summary,,,2020-12-19 04:00:52.000082,1543.516879140983,UDP,downlink,1537.0932788796415
4.000082,5.000015,0.9999330043792725,194547136,1556481365.435228,0.0023703066309194846,28374,169760,16.714184731385487,False,False,4,summary,,,2020-12-19 04:00:53.000015,1556.481365435228,UDP,downlink,1556.3539094587015
5.000015,6.000017,1.0000020265579224,193238560,1545905347.1332715,0.0035111306518856157,29953,170388,17.579289621334837,False,False,5,summary,,,2020-12-19 04:00:54.000017,1545.9053471332716,UDP,downlink,1548.6345305698278
6.000017,7.000972,1.0009549856185913,195229632,1560346947.1055014,0.09384151162253838,28071,169953,16.51691938359429,False,False,6,summary,,,2020-12-19 04:00:55.000972,1560.3469471055014,UDP,downlink,1554.2445532246672
7.000972,8.000089,0.9991170167922974,183470336,1469059843.1726317,0.002730633930701497,36162,169498,21.334765011976543,False,False,7,summary,,,2020-12-19 04:00:56.000089,1469.0598431726316,UDP,downlink,1525.1040458038015
8.000089,9.000057,0.9999679923057556,196604256,1572884392.4027138,0.029172669065630596,26959,169840,15.873174752708431,False,False,8,summary,,,2020-12-19 04:00:57.000057,1572.8843924027137,UDP,downlink,1534.0970608936157
9.000057,10.000015,0.9999579787254333,192747328,1542043422.6300561,0.006648702912551873,29982,170060,17.63024814771257,False,False,9,summary,,,2020-12-19 04:00:58.000015,1542.043422630056,UDP,downlink,1527.9958860684671
10.000015,11.000017,1.0000020265579224,194537504,1556296878.074232,0.002762249570443821,27820,169199,16.442177554240864,False,False,10,summary,,,2020-12-19 04:00:59.000017,1556.2968780742322,UDP,downlink,1557.074897702334
11.000017,12.000015,0.9999979734420776,194366880,1554938191.17231,0.013028842701442531,28228,169483,16.655357764495555,False,False,11,summary,,,2020-12-19 04:01:00.000015,1554.93819117231,UDP,downlink,1551.092830625533
12.000015,13.000076,1.00006103515625,194106816,1552759755.0657308,0.005253052375141613,28391,169457,16.75410281074255,False,False,12,summary,,,2020-12-19 04:01:01.000076,1552.7597550657308,UDP,downlink,1554.664941437425
13.000076,14.000014,0.9999380111694336,187563936,1500604508.7186382,0.0027893940936396483,32822,169133,19.40602957435864,False,False,13,summary,,,2020-12-19 04:01:02.000014,1500.6045087186383,UDP,downlink,1536.1008183188935
14.000014,15.000335,1.0003210306167603,184042752,1471869500.826359,0.0027036665287260547,30585,164337,18.61114660727651,False,False,14,summary,,,2020-12-19 04:01:03.000335,1471.869500826359,UDP,downlink,1508.4112548702433
15.000335,16.000015,0.9996799826622009,195411264,1563790552.089355,0.004270779058483106,24852,166866,14.893387508539787,False,False,15,summary,,,2020-12-19 04:01:04.000015,1563.790552089355,UDP,downlink,1512.0881872114512
16.000015,17.000092,1.0000770092010498,173630560,1388937519.0313513,0.00262615665661053,34989,161174,21.708836412820926,False,False,16,summary,,,2020-12-19 04:01:05.000092,1388.9375190313513,UDP,downlink,1474.8658573156888
17.000092,18.000088,0.9999960064888,153674432,1229400365.6241293,0.16500511796588618,41129,152811,26.914947222385823,False,False,17,summary,,,2020-12-19 04:01:06.000088,1229.4003656241293,UDP,downlink,1394.042812248279
18.000088,19.000016,0.9999279975891113,223649536,1789325123.7227716,0.0026637013600608055,28202,190738,14.785727018213466,False,False,18,summary,,,2020-12-19 04:01:07.000016,1789.3251237227717,UDP,downlink,1469.221002792751
19.000016,20.000808,1.0007920265197754,202924224,1622109038.623443,0.0034079463097506585,25225,172699,14.60633819535724,False,False,19,summary,,,2020-12-19 04:01:08.000808,1622.109038623443,UDP,downlink,1546.9448426567815
20.000808,21.000048,0.999239981174469,194622816,1558166764.074013,0.006657783716519992,30079,171520,17.53673041044776,False,False,20,summary,,,2020-12-19 04:01:09.000048,1558.166764074013,UDP,downlink,1656.533642140076
21.000048,22.000079,1.0000309944152832,207244864,1657907526.1256342,0.0035730129470542987,24838,175452,14.156578437407383,False,False,21,summary,,,2020-12-19 04:01:10.000079,1657.9075261256341,UDP,downlink,1612.7277762743634
22.000079,23.000017,0.9999380111694336,176300000,1410487434.4665911,0.0034405380798846925,25787,153912,16.754379125734186,False,False,22,summary,,,2020-12-19 04:01:11.000017,1410.4874344665911,UDP,downlink,1542.1872415554128
23.000017,24.000085,1.000067949295044,209800096,1678286729.599842,0.0030985438573191927,29823,182294,16.359836308380967,False,False,23,summary,,,2020-12-19 04:01:12.000085,1678.2867295998421,UDP,downlink,1582.2272300640227
24.000085,25.000014,0.9999290108680725,187431840,1499561172.5459113,0.007950975066343739,34969,171184,20.427726890363587,False,False,24,summary,,,2020-12-19 04:01:13.000014,1499.5611725459114,UDP,downlink,1529.4451122041153
